Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
10,11,CBL,165.00,-34,166,162,250,"102,281","16,733,775.00",1/30/2002
7,8,CBL,171.00,3.64,174,150,165,"223,490","37,612,290.00",3/3/2013
7,8,CBL,168.00,-1.75,174,166,171,"130,359","22,072,090.00",3/4/2013
8,9,CBL,167.00,-0.6,170,162,168,"43,648","7,182,993.00",3/5/2013
11,12,CBL,170.00,1.8,171,164,167,"34,344","5,749,546.00",3/6/2013
9,10,CBL,168.00,-1.18,169,166,170,"30,932","5,196,527.00",3/7/2013
10,11,CBL,170.00,1.19,173,166,168,"37,709","6,394,639.00",3/11/2013
10,11,CBL,170.00,0,173,169,170,"54,094","9,211,111.00",3/13/2013
7,8,CBL,170.00,0,179,170,170,"52,081","8,954,910.00",3/14/2013
8,9,CBL,170.00,0,171,164,170,"30,551","5,108,359.00",3/17/2013
7,8,CBL,166.00,-2.35,169,163,170,"40,598","6,683,611.00",3/18/2013
11,12,CBL,164.00,-1.2,167,163,166,"35,073","5,794,325.00",3/19/2013
9,10,CBL,162.00,-1.22,166,162,164,"32,124","5,257,141.00",3/20/2013
9,10,CBL,162.00,0,165,160,162,"20,623","3,347,061.00",3/21/2013
8,9,CBL,158.00,-2.47,162,158,162,"29,316","4,661,660.00",3/24/2013
8,9,CBL,160.00,1.27,164,156,158,"36,554","5,801,962.00",3/25/2013
10,11,CBL,160.00,0,161,157,160,"17,897","2,826,690.00",3/27/2013
8,9,CBL,159.00,-0.62,160,156,160,"26,692","4,208,203.00",3/28/2013
6,7,CBL,156.00,-1.89,158,154,159,"43,059","6,694,879.00",3/31/2013
8,9,CBL,158.00,1.28,158,151,156,"25,894","4,016,497.00",4/1/2013
8,9,CBL,158.00,0,160,152,158,"26,882","4,202,183.00",4/2/2013
8,9,CBL,157.00,-0.63,160,155,158,"36,884","5,798,232.00",4/3/2013
10,11,CBL,158.00,0.64,160,156,157,"16,222","2,556,088.00",4/4/2013
9,10,CBL,159.00,0.63,159,156,158,"39,573","6,215,901.00",4/7/2013
8,9,CBL,159.00,0,160,158,159,"20,470","3,247,306.00",4/8/2013
10,11,CBL,160.00,0.63,161,158,159,"57,708","9,149,963.00",4/9/2013
9,10,CBL,161.00,0.62,164,159,160,"39,806","6,402,410.00",4/11/2013
9,10,CBL,164.00,1.86,164,161,161,"27,472","4,450,179.00",4/15/2013
8,9,CBL,161.00,-1.83,163,159,164,"31,011","4,972,875.00",4/16/2013
9,10,CBL,160.00,-0.62,160,158,161,"22,719","3,628,596.00",4/17/2013
7,8,CBL,157.00,-1.88,161,157,160,"37,775","5,984,461.00",4/18/2013
7,8,CBL,155.00,-1.27,158,154,157,"22,749","3,539,113.00",4/21/2013
7,8,CBL,157.00,1.29,157,152,155,"18,922","2,889,171.00",4/22/2013
7,8,CBL,156.00,-0.64,159,155,157,"12,834","2,015,793.00",4/23/2013
8,9,CBL,156.00,0,157,155,156,"9,675","1,506,925.00",4/25/2013
9,10,CBL,154.00,-1.28,156,153,156,"14,562","2,247,419.00",4/28/2013
8,9,CBL,155.00,0.65,156,151,154,"12,805","1,963,285.00",4/29/2013
9,10,CBL,153.00,-1.29,154,151,155,"13,591","2,074,667.00",4/30/2013
7,8,CBL,151.00,-1.31,153,149,153,"11,957","1,801,043.00",5/2/2013
7,8,CBL,151.00,0,155,148,151,"15,382","2,305,779.00",5/5/2013
8,9,CBL,148.00,-1.99,151,147,151,"16,674","2,469,273.00",5/6/2013
9,10,CBL,152.00,2.7,154,148,148,"13,748","2,086,678.00",5/7/2013
8,9,CBL,152.00,0,154,150,152,"19,052","2,892,532.00",5/8/2013
10,11,CBL,151.00,-0.66,154,151,152,"7,733","1,173,676.00",5/9/2013
9,10,CBL,149.00,-1.32,154,149,151,"8,393","1,257,801.00",5/12/2013
8,9,CBL,152.00,2.01,153,148,149,"10,293","1,550,537.00",5/13/2013
7,8,CBL,153.00,0.66,153,150,152,"5,946","905,946.00",5/14/2013
8,9,CBL,153.00,0,155,150,153,"10,634","1,628,681.00",5/15/2013
7,8,CBL,153.00,0,153,150,153,"3,589","546,312.00",5/16/2013
9,10,CBL,150.00,-1.96,154,150,153,"16,083","2,429,913.00",5/19/2013
9,10,CBL,152.00,1.33,152,151,150,"6,540","988,112.00",5/20/2013
10,11,CBL,152.00,0,152,150,152,"19,123","2,890,121.00",5/21/2013
10,11,CBL,151.00,-0.66,152,150,152,"5,816","878,216.00",5/22/2013
9,10,CBL,150.00,-0.66,150,149,151,"3,517","524,616.00",5/23/2013
10,11,CBL,151.00,0.67,152,150,150,"17,544","2,632,836.00",5/26/2013
9,10,CBL,153.00,1.32,153,150,151,"13,694","2,066,909.00",5/27/2013
8,9,CBL,150.00,-1.96,153,150,153,"10,156","1,538,339.00",5/28/2013
8,9,CBL,150.00,0,151,150,150,"14,056","2,111,471.00",5/30/2013
8,9,CBL,149.00,-0.67,152,148,150,"8,389","1,249,773.00",6/2/2013
9,10,CBL,149.00,0,150,148,149,"21,090","3,143,645.00",6/3/2013
10,11,CBL,149.00,0,150,148,149,"3,457","515,199.00",6/4/2013
8,9,CBL,150.00,0.67,150,147,149,"67,545","9,974,253.00",6/5/2013
8,9,CBL,155.00,3.33,155,150,150,"6,722","1,015,396.00",6/6/2013
9,10,CBL,150.00,-3.23,153,150,155,"10,202","1,536,374.00",6/9/2013
10,11,CBL,151.00,0.67,151,149,150,"5,359","803,180.00",6/10/2013
7,8,CBL,149.00,-1.32,153,149,151,"5,966","894,740.00",6/11/2013
8,9,CBL,149.00,0,150,148,149,"5,222","777,201.00",6/12/2013
7,8,CBL,149.00,0,149,148,149,"17,988","2,678,883.00",6/13/2013
6,7,CBL,149.00,0,150,149,149,"1,853","276,707.00",6/16/2013
8,9,CBL,148.00,-0.67,149,145,149,"11,738","1,735,333.00",6/17/2013
9,10,CBL,147.00,-0.68,150,147,148,"10,374","1,531,919.00",6/18/2013
11,12,CBL,145.00,-1.36,149,145,147,"11,256","1,648,142.00",6/19/2013
10,11,CBL,147.00,1.38,148,145,145,"5,263","769,363.00",6/20/2013
8,9,CBL,145.00,-1.36,147,143,147,"10,805","1,562,968.00",6/23/2013
8,9,CBL,145.00,0,146,142,145,"8,305","1,192,712.00",6/24/2013
6,7,CBL,148.00,2.07,149,145,145,"7,523","1,105,972.00",6/25/2013
10,11,CBL,149.00,0.68,151,147,148,"3,406","507,780.00",6/26/2013
9,10,CBL,147.00,-1.34,149,146,149,"2,875","422,918.00",6/27/2013
9,10,CBL,146.00,-0.68,147,145,147,"8,262","1,203,593.00",6/30/2013
8,9,CBL,144.00,-1.37,146,144,146,"6,760","977,894.00",7/1/2013
11,12,CBL,143.00,-0.69,144,143,144,"14,191","2,029,821.00",7/2/2013
9,10,CBL,144.00,0.7,144,141,143,"60,310","8,532,682.00",7/3/2013
9,10,CBL,144.00,0,146,142,144,"3,009","429,829.00",7/4/2013
10,11,CBL,148.00,2.78,148,143,144,"5,469","793,101.00",7/7/2013
10,11,CBL,149.00,0.68,150,147,148,"16,983","2,516,109.00",7/8/2013
10,11,CBL,149.00,0,151,147,149,"12,422","1,851,063.00",7/9/2013
9,10,CBL,151.00,1.34,152,148,149,"4,115","618,792.00",7/10/2013
9,10,CBL,149.00,-1.32,151,149,151,482,"72,044.00",7/11/2013
8,9,CBL,148.00,-0.67,150,148,149,"1,238","184,259.00",7/14/2013
12,13,CBL,149.00,0.68,150,145,148,"6,940","1,022,058.00",7/15/2013
10,11,CBL,147.00,-1.34,150,147,149,"2,228","330,860.00",7/16/2013
9,10,CBL,147.00,0,149,146,147,"2,430","358,628.00",7/17/2013
10,11,CBL,149.00,1.36,150,148,147,"7,412","1,106,412.00",7/18/2013
7,8,CBL,152.00,2.01,156,150,149,"8,121","1,230,257.00",7/21/2013
8,9,CBL,149.00,-1.97,153,148,152,"5,976","898,841.00",7/22/2013
10,11,CBL,149.00,0,150,147,149,"5,226","774,887.00",7/23/2013
9,10,CBL,149.00,0,151,147,149,"5,372","793,388.00",7/24/2013
9,10,CBL,147.00,-1.34,149,145,149,"5,653","829,407.00",7/25/2013
9,10,CBL,147.00,0,147,145,147,"8,012","1,166,369.00",7/28/2013
10,11,CBL,146.00,-0.68,148,144,147,"8,532","1,243,619.00",7/29/2013
9,10,CBL,147.00,0.68,148,144,146,"12,040","1,751,780.00",7/30/2013
10,11,CBL,147.00,0,148,146,147,"12,269","1,799,983.00",7/31/2013
9,10,CBL,146.00,-0.68,148,145,147,"10,142","1,485,684.00",8/1/2013
11,12,CBL,146.00,0,148,144,146,"12,972","1,885,046.00",8/4/2013
10,11,CBL,144.00,-1.37,147,144,146,"8,364","1,209,135.00",8/5/2013
9,10,CBL,144.00,0,147,141,144,"17,615","2,528,923.00",8/6/2013
10,11,CBL,143.00,-0.69,146,143,144,"9,288","1,336,380.00",8/7/2013
9,10,CBL,148.00,3.5,148,141,143,"18,922","2,709,760.00",8/8/2013
10,11,CBL,147.00,-0.68,150,145,148,"8,583","1,270,404.00",8/11/2013
12,13,CBL,140.00,-4.76,146,140,147,"5,847","841,801.00",8/12/2013
11,12,CBL,142.00,1.43,144,140,140,"12,695","1,811,521.00",8/13/2013
10,11,CBL,144.00,1.41,146,142,142,"14,135","2,025,268.00",8/14/2013
9,10,CBL,144.00,0,145,144,144,"3,492","506,205.00",8/15/2013
7,8,CBL,144.00,0,146,143,144,"9,424","1,365,838.00",8/18/2013
10,11,CBL,144.00,0,147,144,144,"15,496","2,242,951.00",8/19/2013
11,12,CBL,146.00,1.39,148,143,144,"11,614","1,695,306.00",8/20/2013
11,12,CBL,145.00,-0.68,147,145,146,"19,948","2,903,247.00",8/25/2013
10,11,CBL,144.00,-0.69,146,143,145,"6,124","883,869.00",8/26/2013
10,11,CBL,146.00,1.39,146,144,144,"18,457","2,668,614.00",8/27/2013
10,11,CBL,143.00,-2.05,145,142,146,"12,315","1,770,737.00",8/29/2013
11,12,CBL,143.00,0,144,142,143,"8,439","1,207,642.00",9/1/2013
9,10,CBL,142.00,-0.7,144,142,143,"11,982","1,706,032.00",9/2/2013
