Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
16,17,CZBIL,276.00,-35.66,280,274,429,"22,372","6,145,747.00",1/30/2002
6,7,CZBIL,572.00,107.25,588,535,276,"4,430","2,557,500.00",6/11/2009
4,5,CZBIL,549.00,-4.02,561,524,572,"5,190","2,786,950.00",6/14/2009
5,6,CZBIL,570.00,3.83,570,549,549,"1,520","849,030.00",6/15/2009
5,6,CZBIL,575.00,0.88,576,556,570,"6,270","3,556,750.00",6/16/2009
5,6,CZBIL,562.00,-2.26,570,560,575,"5,610","3,172,170.00",6/17/2009
8,9,CZBIL,563.00,0.18,570,561,562,"4,375","2,461,435.00",6/18/2009
7,8,CZBIL,550.00,-2.31,562,541,563,"4,450","2,437,840.00",6/21/2009
6,7,CZBIL,547.00,-0.55,550,540,550,"2,700","1,472,400.00",6/22/2009
5,6,CZBIL,544.00,-0.55,548,534,547,"3,550","1,927,230.00",6/23/2009
9,10,CZBIL,530.00,-2.57,545,530,544,"1,610","863,680.00",6/24/2009
7,8,CZBIL,520.00,-1.89,530,520,530,"3,760","1,963,110.00",6/25/2009
6,7,CZBIL,520.00,0,521,515,520,"2,470","1,281,180.00",6/28/2009
6,7,CZBIL,520.00,0,525,516,520,"1,750","909,750.00",6/29/2009
6,7,CZBIL,519.00,-0.19,526,517,520,"3,060","1,590,820.00",6/30/2009
5,6,CZBIL,517.00,-0.39,520,516,519,"2,800","1,449,180.00",7/1/2009
4,5,CZBIL,536.00,3.68,536,515,517,"2,730","1,421,040.00",7/2/2009
6,7,CZBIL,549.00,2.43,566,538,536,"3,510","1,954,690.00",7/5/2009
6,7,CZBIL,559.00,1.82,559,545,549,"5,880","3,267,290.00",7/6/2009
5,6,CZBIL,571.00,2.15,571,555,559,"3,010","1,689,430.00",7/7/2009
5,6,CZBIL,595.00,4.2,601,569,571,"2,795","1,651,125.00",7/8/2009
5,6,CZBIL,615.00,3.36,626,600,595,"2,590","1,589,950.00",7/9/2009
7,8,CZBIL,620.00,0.81,620,600,615,"3,300","1,997,090.00",7/12/2009
5,6,CZBIL,626.00,0.97,637,608,620,"1,520","947,970.00",7/13/2009
6,7,CZBIL,680.00,8.63,688,630,626,"1,990","1,322,020.00",7/14/2009
6,7,CZBIL,660.00,-2.94,698,660,680,"3,610","2,453,810.00",7/15/2009
7,8,CZBIL,628.00,-4.85,647,600,660,"6,210","3,844,490.00",7/16/2009
5,6,CZBIL,645.00,2.71,653,631,628,"8,230","5,296,720.00",7/19/2009
7,8,CZBIL,651.00,0.93,660,645,645,"7,950","5,168,790.00",7/20/2009
7,8,CZBIL,654.00,0.46,660,645,651,"9,390","6,139,480.00",7/21/2009
9,10,CZBIL,661.00,1.07,666,622,654,"8,690","5,735,600.00",7/23/2009
3,4,CZBIL,632.00,-4.39,660,617,661,"9,780","6,304,230.00",7/26/2009
6,7,CZBIL,666.00,5.38,671,632,632,"13,650","8,982,680.00",7/27/2009
5,6,CZBIL,675.00,1.35,675,633,666,"8,090","5,359,000.00",7/28/2009
8,9,CZBIL,670.00,-0.74,680,665,675,"20,540","13,762,590.00",7/29/2009
7,8,CZBIL,670.00,0,672,656,670,"6,500","4,341,570.00",7/30/2009
7,8,CZBIL,660.00,-1.49,668,640,670,"8,690","5,676,760.00",8/2/2009
8,9,CZBIL,659.00,-0.15,660,650,660,"19,390","12,756,680.00",8/3/2009
8,9,CZBIL,660.00,0.15,663,627,659,"4,550","2,984,850.00",8/4/2009
8,9,CZBIL,662.00,0.3,675,656,660,"6,310","4,187,340.00",8/9/2009
7,8,CZBIL,660.00,-0.3,665,648,662,"5,220","3,431,430.00",8/10/2009
7,8,CZBIL,672.00,1.82,680,660,660,"3,190","2,135,390.00",8/11/2009
9,10,CZBIL,680.00,1.19,680,665,672,"23,650","15,811,490.00",8/12/2009
8,9,CZBIL,710.00,4.41,710,675,680,"7,420","5,124,270.00",8/16/2009
9,10,CZBIL,680.00,-4.23,696,680,710,"5,180","3,557,830.00",8/17/2009
8,9,CZBIL,695.00,2.21,703,680,680,"13,820","9,579,320.00",8/18/2009
9,10,CZBIL,740.00,6.47,764,708,695,"15,520","11,420,710.00",8/19/2009
10,11,CZBIL,740.00,0,750,726,740,"20,075","14,782,950.00",8/20/2009
7,8,CZBIL,720.00,-2.7,740,714,740,"28,760","20,799,490.00",8/23/2009
6,7,CZBIL,701.00,-2.64,710,683,720,"13,160","9,117,460.00",8/24/2009
5,6,CZBIL,695.00,-0.86,706,680,701,"13,120","9,068,750.00",8/25/2009
6,7,CZBIL,700.00,0.72,700,682,695,"1,740","1,206,080.00",8/26/2009
6,7,CZBIL,700.00,0,705,695,700,"2,300","1,610,310.00",8/27/2009
5,6,CZBIL,685.00,-2.14,700,680,700,"2,430","1,680,310.00",8/30/2009
6,7,CZBIL,694.00,1.31,700,672,685,"3,450","2,367,250.00",8/31/2009
8,9,CZBIL,678.00,-2.31,694,660,694,"2,740","1,840,310.00",9/1/2009
7,8,CZBIL,670.00,-1.18,676,664,678,"4,630","3,099,310.00",9/2/2009
6,7,CZBIL,668.00,-0.3,671,660,670,"4,020","2,689,040.00",9/6/2009
7,8,CZBIL,670.00,0.3,670,660,668,"2,580","1,721,300.00",9/7/2009
6,7,CZBIL,662.00,-1.19,669,649,670,"6,840","4,525,710.00",9/8/2009
6,7,CZBIL,649.00,-1.96,665,630,662,"4,025","2,616,150.00",9/9/2009
6,7,CZBIL,628.00,-3.24,646,628,649,"6,030","3,856,120.00",9/10/2009
6,7,CZBIL,642.00,2.23,654,624,628,"4,285","2,703,860.00",9/13/2009
8,9,CZBIL,670.00,4.36,670,635,642,"2,730","1,782,250.00",9/14/2009
