Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
19,20,GBIME,514.00,-12.29,526,510,586,"51,256","26,275,518.00",1/30/2002
19,20,GBIME,175.00,-65.95,175,163,514,50,"8,450.00",9/9/2012
21,22,GBIME,192.00,9.71,192,178,175,254,"46,952.00",9/10/2012
23,24,GBIME,211.00,9.9,211,195,192,376,"76,246.00",9/11/2012
20,21,GBIME,232.00,9.95,232,215,211,"1,131","261,246.00",9/12/2012
20,21,GBIME,255.00,9.91,255,236,232,"27,430","6,741,617.00",9/13/2012
19,20,GBIME,260.00,1.96,260,243,255,"9,406","2,340,578.00",9/16/2012
22,23,GBIME,270.00,3.85,270,253,260,"6,296","1,616,864.00",9/17/2012
18,19,GBIME,275.00,1.85,277,260,270,"8,686","2,324,093.00",9/18/2012
23,24,GBIME,270.00,-1.82,271,261,275,"4,336","1,158,047.00",9/19/2012
19,20,GBIME,260.00,-3.7,267,260,270,"11,416","2,989,980.00",9/20/2012
23,24,GBIME,247.00,-5,255,245,260,"5,384","1,333,421.00",9/23/2012
20,21,GBIME,248.00,0.4,250,245,247,"9,768","2,408,542.00",9/24/2012
21,22,GBIME,248.00,0,249,244,248,"4,830","1,190,728.00",9/25/2012
23,24,GBIME,247.00,-0.4,249,244,248,"7,227","1,771,727.00",9/26/2012
20,21,GBIME,245.00,-0.81,249,240,247,"4,600","1,114,553.00",9/27/2012
20,21,GBIME,244.00,-0.41,247,238,245,"7,236","1,747,500.00",9/30/2012
17,18,GBIME,243.00,-0.41,245,240,244,"5,064","1,229,940.00",10/1/2012
17,18,GBIME,248.00,2.06,248,242,243,"2,854","703,587.00",10/2/2012
20,21,GBIME,248.00,0,251,244,248,"3,424","848,235.00",10/3/2012
19,20,GBIME,250.00,0.81,250,244,248,"3,162","778,818.00",10/4/2012
21,22,GBIME,252.00,0.8,255,248,250,"6,485","1,619,076.00",10/7/2012
27,28,GBIME,252.00,0,253,245,252,"7,223","1,794,754.00",10/8/2012
21,22,GBIME,256.00,1.59,256,250,252,"3,945","997,688.00",10/9/2012
19,20,GBIME,253.00,-1.17,256,251,256,"1,964","497,591.00",10/10/2012
19,20,GBIME,251.00,-0.79,252,250,253,"3,846","964,853.00",10/11/2012
18,19,GBIME,254.00,1.2,254,251,251,"1,029","260,641.00",10/14/2012
18,19,GBIME,252.00,-0.79,254,249,254,"1,589","399,228.00",10/15/2012
14,15,GBIME,260.00,3.17,260,247,252,"2,975","759,810.00",10/17/2012
16,17,GBIME,266.00,2.31,266,260,260,"3,263","857,695.00",10/18/2012
18,19,GBIME,270.00,1.5,275,263,266,"2,478","668,968.00",10/30/2012
13,14,GBIME,278.00,2.96,285,275,270,"4,291","1,202,150.00",10/31/2012
16,17,GBIME,287.00,3.24,287,269,278,"2,017","558,941.00",11/1/2012
18,19,GBIME,296.00,3.14,301,275,287,"16,234","4,644,510.00",11/4/2012
18,19,GBIME,297.00,0.34,307,283,296,"12,136","3,596,379.00",11/5/2012
19,20,GBIME,304.00,2.36,304,288,297,"4,876","1,445,227.00",11/6/2012
20,21,GBIME,310.00,1.97,310,300,304,"8,988","2,723,750.00",11/7/2012
17,18,GBIME,308.00,-0.65,330,306,310,"9,282","2,905,349.00",11/8/2012
15,16,GBIME,293.00,-4.87,324,289,308,"9,640","2,942,956.00",11/11/2012
15,16,GBIME,313.00,6.83,315,293,293,"3,044","925,513.00",11/12/2012
17,18,GBIME,318.00,1.6,326,310,313,"2,200","700,288.00",11/18/2012
21,22,GBIME,333.00,4.72,335,316,318,"7,312","2,409,100.00",11/20/2012
18,19,GBIME,343.00,3,344,321,333,"10,747","3,641,530.00",11/21/2012
16,17,GBIME,342.00,-0.29,344,330,343,"9,816","3,317,478.00",11/22/2012
19,20,GBIME,352.00,2.92,370,343,342,"13,675","4,806,048.00",11/25/2012
18,19,GBIME,359.00,1.99,359,334,352,"130,815","45,689,841.00",11/26/2012
17,18,GBIME,366.00,1.95,369,345,359,"15,772","5,698,191.00",11/27/2012
19,20,GBIME,380.00,3.83,385,368,366,"17,520","6,596,300.00",11/28/2012
