Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
34,35,KBL,284.00,-31.23,290,284,413,"7,677","2,193,003.00",1/30/2002
6,7,KBL,238.00,-0.83,240,238,240,100,"23,960.00",10/1/2004
10,11,KBL,232.00,-2.52,235,232,238,"1,340","311,540.00",10/4/2004
6,7,KBL,226.00,-2.59,230,225,232,"2,480","560,080.00",10/5/2004
9,10,KBL,228.00,0.88,228,226,226,"2,000","454,280.00",10/6/2004
8,9,KBL,227.00,-0.44,227,225,228,740,"167,700.00",10/7/2004
5,6,KBL,223.00,-1.76,227,223,227,"40,710","9,078,490.00",10/8/2004
9,10,KBL,228.00,0.88,228,226,226,"2,000","454,280.00",10/9/2004
9,10,KBL,228.00,0.88,228,226,226,"2,000","454,280.00",10/10/2004
3,4,KBL,226.00,1.35,226,225,223,"61,760","13,896,180.00",10/11/2004
4,5,KBL,225.00,-0.44,225,225,226,"1,470","330,750.00",10/12/2004
3,4,KBL,225.00,0,225,225,225,"47,060","10,588,500.00",10/13/2004
4,5,KBL,225.00,0,225,225,225,50,"11,250.00",10/14/2004
9,10,KBL,228.00,0.88,228,226,226,"2,000","454,280.00",10/15/2004
6,7,KBL,223.00,-0.89,225,223,225,110,"24,570.00",10/18/2004
2,3,KBL,223.00,0,223,223,223,30,"6,690.00",10/19/2004
4,5,KBL,220.00,-1.35,220,220,223,200,"44,000.00",10/26/2004
3,4,KBL,220.00,0,220,220,220,120,"26,400.00",10/27/2004
4,5,KBL,225.00,2.27,225,223,220,"1,210","271,930.00",10/28/2004
8,9,KBL,226.00,0.44,226,225,225,420,"94,770.00",10/29/2004
8,9,KBL,228.00,0.88,228,228,226,"6,130","1,397,640.00",11/1/2004
7,8,KBL,230.00,0.88,230,230,228,280,"64,400.00",11/2/2004
5,6,KBL,229.00,-0.43,229,225,230,"3,540","810,500.00",11/3/2004
6,7,KBL,232.00,1.31,232,232,229,"2,180","505,760.00",11/4/2004
5,6,KBL,236.00,1.72,236,235,232,"1,480","348,880.00",11/5/2004
3,4,KBL,235.00,-0.42,235,235,236,470,"110,450.00",11/9/2004
2,3,KBL,235.00,0,235,235,235,890,"209,150.00",11/10/2004
3,4,KBL,230.00,-2.13,230,230,235,180,"41,400.00",11/16/2004
4,5,KBL,228.00,-0.87,228,228,230,"14,420","3,287,760.00",11/17/2004
6,7,KBL,230.00,0.88,230,229,228,160,"36,720.00",11/19/2004
4,5,KBL,235.00,2.17,235,235,230,290,"68,150.00",11/22/2004
6,7,KBL,236.00,0.43,236,236,235,330,"77,880.00",11/23/2004
5,6,KBL,240.00,1.69,240,235,236,"1,490","355,440.00",11/24/2004
4,5,KBL,249.00,3.75,249,241,240,"2,000","494,440.00",11/25/2004
6,7,KBL,248.00,-0.4,250,247,249,"2,910","723,960.00",11/26/2004
2,3,KBL,252.00,1.61,252,250,248,"7,560","1,903,910.00",11/29/2004
3,4,KBL,250.00,-0.79,250,249,252,"1,550","386,220.00",11/30/2004
5,6,KBL,249.00,-0.4,249,249,250,40,"9,960.00",12/1/2004
10,11,KBL,244.00,-2.01,244,243,249,"4,780","1,161,770.00",12/2/2004
3,4,KBL,242.00,-0.82,244,241,244,280,"67,650.00",12/3/2004
9,10,KBL,240.00,-0.83,240,240,242,50,"12,000.00",12/6/2004
8,9,KBL,239.00,-0.42,240,239,240,40,"9,580.00",12/7/2004
7,8,KBL,235.00,-1.67,235,235,239,240,"56,400.00",12/8/2004
4,5,KBL,233.00,-0.85,233,232,235,"5,650","1,315,950.00",12/9/2004
6,7,KBL,234.00,0.43,235,233,233,"2,510","587,820.00",12/10/2004
2,3,KBL,236.00,0.85,236,235,234,830,"195,280.00",12/13/2004
6,7,KBL,236.00,0,237,235,236,"1,480","349,320.00",12/14/2004
5,6,KBL,235.00,-0.42,237,235,236,90,"21,230.00",12/15/2004
4,5,KBL,235.00,0,235,233,235,"1,160","272,480.00",12/16/2004
6,7,KBL,237.00,0.85,237,235,235,"5,860","1,387,960.00",12/17/2004
5,6,KBL,236.00,-0.42,236,235,237,890,"209,170.00",12/20/2004
5,6,KBL,236.00,0,236,235,236,"4,310","1,017,120.00",12/21/2004
4,5,KBL,236.00,0,236,236,236,90,"21,240.00",12/22/2004
