Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
38,39,LBL,355.00,-23.16,355,338,462,"2,063","711,281.00",1/30/2002
7,8,LBL,155.00,-4.32,155,155,162,150,"23,250.00",10/1/2004
11,12,LBL,150.00,-3.23,150,150,155,"1,700","255,000.00",10/4/2004
7,8,LBL,150.00,0,150,150,150,"1,050","157,500.00",10/5/2004
10,11,LBL,150.00,0,150,150,150,620,"93,000.00",10/6/2004
10,11,LBL,153.00,2,153,152,150,"2,440","372,870.00",10/7/2004
6,7,LBL,153.00,0,153,153,153,380,"58,140.00",10/8/2004
10,11,LBL,150.00,0,150,150,150,620,"93,000.00",10/9/2004
10,11,LBL,150.00,0,150,150,150,620,"93,000.00",10/10/2004
5,6,LBL,150.00,-1.96,150,150,153,"2,000","300,000.00",10/11/2004
5,6,LBL,150.00,0,150,150,150,"1,620","243,000.00",10/12/2004
5,6,LBL,150.00,0,150,150,150,250,"37,500.00",10/13/2004
5,6,LBL,149.00,-0.67,149,148,150,"1,070","158,950.00",10/14/2004
10,11,LBL,150.00,0,150,150,150,620,"93,000.00",10/15/2004
4,5,LBL,155.00,4.03,155,155,149,200,"31,000.00",10/27/2004
5,6,LBL,155.00,0,155,155,155,50,"7,750.00",10/28/2004
9,10,LBL,153.00,-1.29,153,150,155,"1,390","208,950.00",11/1/2004
8,9,LBL,158.00,3.27,158,158,153,140,"22,120.00",11/2/2004
6,7,LBL,150.00,-5.06,151,150,158,570,"85,700.00",11/3/2004
7,8,LBL,150.00,0,150,150,150,"1,230","184,500.00",11/4/2004
6,7,LBL,151.00,0.67,151,150,150,"6,290","949,680.00",11/5/2004
5,6,LBL,151.00,0,151,150,151,"3,070","463,390.00",11/9/2004
3,4,LBL,151.00,0,151,151,151,660,"99,660.00",11/10/2004
4,5,LBL,155.00,2.65,156,155,151,"2,300","358,250.00",11/11/2004
2,3,LBL,152.00,-1.94,152,152,155,"25,350","3,853,200.00",11/15/2004
4,5,LBL,152.00,0,152,152,152,"33,750","5,130,000.00",11/16/2004
5,6,LBL,162.00,6.58,162,159,152,930,"148,290.00",11/17/2004
7,8,LBL,166.00,2.47,166,162,162,"46,320","7,667,590.00",11/18/2004
8,9,LBL,178.00,7.23,178,170,166,"5,580","971,260.00",11/19/2004
6,7,LBL,186.00,4.49,186,178,178,"9,850","1,794,330.00",11/22/2004
7,8,LBL,186.00,0,189,186,186,"4,310","801,960.00",11/23/2004
6,7,LBL,190.00,2.15,190,185,186,"20,660","3,845,940.00",11/24/2004
5,6,LBL,192.00,1.05,192,185,190,"13,570","2,550,130.00",11/25/2004
8,9,LBL,197.00,2.6,197,197,192,140,"27,580.00",11/26/2004
4,5,LBL,188.00,-4.57,188,188,197,20,"3,760.00",11/29/2004
4,5,LBL,166.00,-11.7,179,164,188,"2,380","395,280.00",11/30/2004
6,7,LBL,163.00,-1.81,163,162,166,"1,170","189,660.00",12/1/2004
11,12,LBL,164.00,0.61,164,164,163,930,"152,520.00",12/2/2004
4,5,LBL,160.00,-2.44,160,160,164,860,"137,600.00",12/3/2004
10,11,LBL,163.00,1.88,163,160,160,390,"62,850.00",12/6/2004
9,10,LBL,171.00,4.91,171,171,163,100,"17,100.00",12/7/2004
8,9,LBL,166.00,-2.92,166,165,171,340,"56,160.00",12/8/2004
5,6,LBL,170.00,2.41,170,165,166,470,"78,630.00",12/9/2004
7,8,LBL,167.00,-1.76,168,167,170,680,"113,760.00",12/10/2004
3,4,LBL,170.00,1.8,170,170,167,30,"5,100.00",12/13/2004
7,8,LBL,168.00,-1.18,168,168,170,20,"3,360.00",12/14/2004
6,7,LBL,160.00,-4.76,160,160,168,140,"22,400.00",12/20/2004
6,7,LBL,160.00,0,160,160,160,90,"14,400.00",12/21/2004
5,6,LBL,161.00,0.62,161,161,160,380,"61,180.00",12/22/2004
3,4,LBL,161.00,0,161,161,161,50,"8,050.00",12/23/2004
