Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
2,3,NABIL,882.00,-0.9,882,882,890,62,"54,684.00",1/3/2000
6,7,NABIL,879.00,-0.34,879,876,882,343,"300,867.00",1/4/2000
7,8,NABIL,865.00,-1.59,870,865,879,736,"638,230.00",1/5/2000
6,7,NABIL,860.00,-0.58,860,860,865,286,"245,960.00",1/6/2000
6,7,NABIL,861.00,0.12,861,860,860,424,"364,754.00",1/10/2000
5,6,NABIL,876.00,1.74,876,870,861,634,"554,531.00",1/13/2000
4,5,NABIL,875.00,-0.11,875,875,876,10,"8,750.00",1/14/2000
5,6,NABIL,910.00,4,910,900,875,479,"431,260.00",1/17/2000
3,4,NABIL,901.00,-0.99,912,901,910,"1,183","1,068,791.00",1/18/2000
7,8,NABIL,912.00,1.22,912,911,901,237,"216,053.00",1/19/2000
5,6,NABIL,923.00,1.21,923,920,912,326,"300,519.00",1/20/2000
7,8,NABIL,935.00,1.3,935,930,923,692,"646,020.00",1/21/2000
3,4,NABIL,950.00,1.6,950,950,935,780,"741,000.00",1/24/2000
4,5,NABIL,953.00,0.32,960,950,950,876,"832,513.00",1/25/2000
7,8,NABIL,971.00,1.89,971,965,953,468,"453,166.00",1/26/2000
5,6,NABIL,971.00,0,971,971,971,36,"34,956.00",1/27/2000
6,7,NABIL,971.00,0,971,971,971,145,"140,795.00",1/28/2000
6,7,NABIL,976.00,0.51,980,970,971,"1,308","1,270,622.00",1/31/2000
5,6,NABIL,975.00,-0.1,980,971,976,867,"843,256.00",2/1/2000
2,3,NABIL,980.00,0.51,980,980,975,137,"134,260.00",2/2/2000
5,6,NABIL,981.00,0.1,981,980,980,26,"25,493.00",2/3/2000
4,5,NABIL,991.00,1.02,991,975,981,394,"385,778.00",2/4/2000
2,3,NABIL,990.00,-0.1,"1,000.00",990,991,"1,914","1,894,960.00",2/7/2000
3,4,NABIL,1020.00,3.03,"1,020.00","1,020.00",990,171,"174,420.00",2/8/2000
4,5,NABIL,1020.00,0,"1,020.00","1,020.00","1,020.00",316,"322,320.00",2/11/2000
6,7,NABIL,1028.00,0.78,"1,030.00","1,020.00","1,020.00","1,276","1,309,554.00",2/14/2000
2,3,NABIL,1041.00,1.26,"1,042.00","1,030.00","1,028.00",308,"317,891.00",2/15/2000
4,5,NABIL,1041.00,0,"1,041.00","1,041.00","1,041.00",30,"31,230.00",2/16/2000
4,5,NABIL,1052.00,1.06,"1,052.00","1,050.00","1,041.00",501,"526,807.00",2/17/2000
5,6,NABIL,1060.00,0.76,"1,060.00","1,060.00","1,052.00",16,"16,960.00",2/18/2000
5,6,NABIL,1061.00,0.09,"1,061.00","1,061.00","1,060.00",390,"413,790.00",2/21/2000
5,6,NABIL,1083.00,2.07,"1,083.00","1,083.00","1,061.00",270,"292,410.00",2/22/2000
4,5,NABIL,1112.00,2.68,"1,112.00","1,100.00","1,083.00",328,"362,873.00",2/24/2000
1,2,NABIL,1125.00,1.17,"1,125.00","1,120.00","1,112.00",202,"226,750.00",2/25/2000
7,8,NABIL,1130.00,0.44,"1,130.00","1,130.00","1,125.00",440,"497,200.00",2/28/2000
7,8,NABIL,1151.00,1.86,"1,151.00","1,140.00","1,130.00",775,"889,700.00",2/29/2000
7,8,NABIL,1160.00,0.78,"1,170.00","1,160.00","1,151.00",472,"548,550.00",3/1/2000
8,9,NABIL,1225.00,5.6,"1,225.00","1,200.00","1,160.00",765,"926,053.00",3/3/2000
6,7,NABIL,1255.00,2.45,"1,255.00","1,255.00","1,225.00","1,000","1,255,000.00",3/6/2000
5,6,NABIL,1290.00,2.79,"1,290.00","1,231.00","1,255.00",591,"761,328.00",3/7/2000
10,11,NABIL,1315.00,1.94,"1,320.00","1,300.00","1,290.00",216,"283,430.00",3/9/2000
7,8,NABIL,1325.00,0.76,"1,340.00","1,320.00","1,315.00",529,"703,477.00",3/10/2000
4,5,NABIL,1340.00,1.13,"1,345.00","1,336.00","1,325.00","2,880","3,849,564.00",3/13/2000
6,7,NABIL,1338.00,-0.15,"1,340.00","1,338.00","1,340.00",113,"151,256.00",3/14/2000
7,8,NABIL,1330.00,-0.6,"1,338.00","1,330.00","1,338.00",137,"182,580.00",3/15/2000
8,9,NABIL,1299.00,-2.33,"1,336.00","1,299.00","1,330.00",181,"237,124.00",3/16/2000
6,7,NABIL,1274.00,-1.92,"1,275.00","1,274.00","1,299.00",162,"206,453.00",3/17/2000
4,5,NABIL,1270.00,-0.31,"1,270.00","1,270.00","1,274.00",115,"146,050.00",3/20/2000
5,6,NABIL,1254.00,-1.26,"1,260.00","1,254.00","1,270.00",128,"160,939.00",3/21/2000
7,8,NABIL,1225.00,-2.31,"1,245.00","1,225.00","1,254.00",117,"145,425.00",3/22/2000
9,10,NABIL,1212.00,-1.06,"1,215.00","1,210.00","1,225.00",656,"795,549.00",3/23/2000
8,9,NABIL,1227.00,1.24,"1,230.00","1,225.00","1,212.00","1,895","2,322,699.00",3/24/2000
1,2,NABIL,1280.00,4.32,"1,280.00","1,250.00","1,227.00",275,"345,030.00",3/27/2000
3,4,NABIL,1300.00,1.56,"1,300.00","1,290.00","1,280.00",856,"1,111,180.00",3/28/2000
6,7,NABIL,1260.00,-3.08,"1,300.00","1,260.00","1,300.00",298,"384,985.00",3/29/2000
9,10,NABIL,1262.00,0.16,"1,280.00","1,255.00","1,260.00",825,"1,052,376.00",3/30/2000
6,7,NABIL,1265.00,0.24,"1,275.00","1,265.00","1,262.00","1,465","1,860,139.00",3/31/2000
5,6,NABIL,1222.00,-3.4,"1,222.00","1,222.00","1,265.00",156,"190,632.00",4/11/2000
6,7,NABIL,1226.00,0.33,"1,226.00","1,222.00","1,222.00",210,"257,420.00",4/14/2000
6,7,NABIL,1226.00,0,"1,226.00","1,226.00","1,226.00",39,"47,814.00",4/17/2000
8,9,NABIL,1300.00,6.04,"1,305.00","1,225.00","1,226.00",670,"850,633.00",4/18/2000
3,4,NABIL,1365.00,5,"1,400.00","1,275.00","1,300.00",804,"1,091,090.00",4/19/2000
4,5,NABIL,1450.00,6.23,"1,455.00","1,410.00","1,365.00",638,"922,130.00",4/20/2000
7,8,NABIL,1460.00,0.69,"1,495.00","1,460.00","1,450.00",264,"393,500.00",4/21/2000
6,7,NABIL,1490.00,2.05,"1,490.00","1,490.00","1,460.00",102,"151,980.00",4/24/2000
8,9,NABIL,1450.00,-2.68,"1,485.00","1,450.00","1,490.00","1,910","2,770,325.00",4/25/2000
8,9,NABIL,1399.00,-3.52,"1,400.00","1,399.00","1,450.00",708,"990,646.00",4/26/2000
5,6,NABIL,1360.00,-2.79,"1,390.00","1,360.00","1,399.00",136,"186,030.00",4/27/2000
5,6,NABIL,1300.00,-4.41,"1,300.00","1,300.00","1,360.00",41,"53,300.00",5/3/2000
6,7,NABIL,1301.00,0.08,"1,310.00","1,301.00","1,300.00",112,"146,072.00",5/4/2000
5,6,NABIL,1310.00,0.69,"1,310.00","1,310.00","1,301.00","1,233","1,615,230.00",5/5/2000
7,8,NABIL,1350.00,3.05,"1,350.00","1,325.00","1,310.00",256,"342,980.00",5/8/2000
7,8,NABIL,1356.00,0.44,"1,356.00","1,355.00","1,350.00",260,"352,540.00",5/9/2000
6,7,NABIL,1360.00,0.29,"1,360.00","1,350.00","1,356.00",467,"633,170.00",5/10/2000
8,9,NABIL,1365.00,0.37,"1,365.00","1,365.00","1,360.00",173,"236,145.00",5/11/2000
8,9,NABIL,1365.00,0,"1,365.00","1,365.00","1,365.00",80,"109,200.00",5/12/2000
6,7,NABIL,1355.00,-0.73,"1,355.00","1,350.00","1,365.00",143,"193,355.00",5/15/2000
9,10,NABIL,1340.00,-1.11,"1,340.00","1,330.00","1,355.00","1,524","2,028,490.00",5/16/2000
5,6,NABIL,1330.00,-0.75,"1,330.00","1,330.00","1,340.00",320,"425,600.00",5/17/2000
5,6,NABIL,1300.00,-2.26,"1,300.00","1,300.00","1,330.00",160,"208,000.00",5/22/2000
5,6,NABIL,1300.00,0,"1,300.00","1,295.00","1,300.00",271,"352,175.00",5/23/2000
6,7,NABIL,1300.00,0,"1,300.00","1,300.00","1,300.00",123,"159,900.00",5/24/2000
6,7,NABIL,1299.00,-0.08,"1,299.00","1,281.00","1,300.00",36,"46,476.00",5/25/2000
3,4,NABIL,1270.00,-2.23,"1,275.00","1,270.00","1,299.00",474,"603,550.00",5/26/2000
4,5,NABIL,1265.00,-0.39,"1,275.00","1,265.00","1,270.00",496,"628,355.00",5/30/2000
5,6,NABIL,1261.00,-0.32,"1,265.00","1,260.00","1,265.00","1,602","2,019,105.00",5/31/2000
5,6,NABIL,1266.00,0.4,"1,266.00","1,265.00","1,261.00",184,"232,894.00",6/1/2000
5,6,NABIL,1260.00,-0.47,"1,262.00","1,260.00","1,266.00",505,"636,734.00",6/2/2000
5,6,NABIL,1250.00,-0.79,"1,260.00","1,250.00","1,260.00",127,"159,890.00",6/5/2000
6,7,NABIL,1255.00,0.4,"1,255.00","1,252.00","1,250.00",757,"947,917.00",6/6/2000
4,5,NABIL,1245.00,-0.8,"1,245.00","1,240.00","1,255.00",764,"948,635.00",6/7/2000
6,7,NABIL,1240.00,-0.4,"1,240.00","1,235.00","1,245.00",738,"912,080.00",6/8/2000
5,6,NABIL,1235.00,-0.4,"1,235.00","1,235.00","1,240.00",318,"392,730.00",6/9/2000
1,2,NABIL,1235.00,0,"1,235.00","1,235.00","1,235.00",106,"130,910.00",6/12/2000
5,6,NABIL,1242.00,0.57,"1,242.00","1,242.00","1,235.00",10,"12,420.00",6/14/2000
3,4,NABIL,1256.00,1.13,"1,256.00","1,250.00","1,242.00",155,"194,226.00",6/15/2000
5,6,NABIL,1271.00,1.19,"1,285.00","1,256.00","1,256.00",208,"264,225.00",6/16/2000
5,6,NABIL,1265.00,-0.47,"1,275.00","1,265.00","1,271.00",521,"661,005.00",6/20/2000
7,8,NABIL,1265.00,0,"1,265.00","1,265.00","1,265.00",520,"657,800.00",6/21/2000
4,5,NABIL,1265.00,0,"1,265.00","1,265.00","1,265.00",52,"65,780.00",6/22/2000
5,6,NABIL,1266.00,0.08,"1,266.00","1,265.00","1,265.00",100,"126,541.00",6/23/2000
9,10,NABIL,1265.00,-0.08,"1,270.00","1,265.00","1,266.00",146,"185,115.00",6/26/2000
6,7,NABIL,1270.00,0.4,"1,270.00","1,270.00","1,265.00",26,"33,020.00",6/27/2000
6,7,NABIL,1272.00,0.16,"1,272.00","1,265.00","1,270.00","1,953","2,472,292.00",6/28/2000
5,6,NABIL,1270.00,-0.16,"1,270.00","1,270.00","1,272.00",236,"299,720.00",6/29/2000
4,5,NABIL,1272.00,0.16,"1,272.00","1,270.00","1,270.00",117,"148,794.00",6/30/2000
7,8,NABIL,1275.00,0.24,"1,275.00","1,275.00","1,272.00",181,"230,775.00",7/3/2000
3,4,NABIL,1281.00,0.47,"1,281.00","1,280.00","1,275.00",96,"122,935.00",7/4/2000
6,7,NABIL,1261.00,-1.56,"1,261.00","1,261.00","1,281.00",92,"116,012.00",7/5/2000
4,5,NABIL,1300.00,3.09,"1,300.00","1,300.00","1,261.00",100,"130,000.00",7/6/2000
6,7,NABIL,1325.00,1.92,"1,325.00","1,301.00","1,300.00",356,"467,020.00",7/7/2000
4,5,NABIL,1340.00,1.13,"1,340.00","1,340.00","1,325.00",25,"33,500.00",7/10/2000
5,6,NABIL,1340.00,0,"1,340.00","1,340.00","1,340.00",370,"495,800.00",7/11/2000
3,4,NABIL,1356.00,1.19,"1,356.00","1,355.00","1,340.00",517,"700,801.00",7/12/2000
4,5,NABIL,1391.00,2.58,"1,391.00","1,375.00","1,356.00","1,837","2,542,330.00",7/13/2000
5,6,NABIL,1400.00,0.65,"1,400.00","1,400.00","1,391.00","2,683","3,756,200.00",7/14/2000
6,7,NABIL,1400.00,0,"1,400.00","1,390.00","1,400.00",887,"1,239,149.00",7/17/2000
4,5,NABIL,1400.00,0,"1,400.00","1,399.00","1,400.00",470,"657,689.00",7/18/2000
2,3,NABIL,1389.00,-0.79,"1,390.00","1,389.00","1,400.00",688,"956,131.00",7/19/2000
8,9,NABIL,1400.00,0.79,"1,400.00","1,390.00","1,389.00",668,"928,770.00",7/20/2000
2,3,NABIL,1395.00,-0.36,"1,400.00","1,375.00","1,400.00","1,836","2,533,790.00",7/21/2000
7,8,NABIL,1375.00,-1.43,"1,375.00","1,375.00","1,395.00",90,"123,750.00",7/24/2000
8,9,NABIL,1375.00,0,"1,375.00","1,370.00","1,375.00",282,"386,820.00",7/25/2000
5,6,NABIL,1365.00,-0.73,"1,370.00","1,365.00","1,375.00",571,"782,015.00",7/26/2000
2,3,NABIL,1370.00,0.37,"1,370.00","1,370.00","1,365.00",461,"631,570.00",7/27/2000
4,5,NABIL,1382.00,0.88,"1,382.00","1,370.00","1,370.00",720,"991,212.00",7/28/2000
6,7,NABIL,1380.00,-0.14,"1,385.00","1,380.00","1,382.00",259,"357,550.00",7/31/2000
3,4,NABIL,1385.00,0.36,"1,385.00","1,385.00","1,380.00",65,"90,025.00",8/1/2000
1,2,NABIL,1400.00,1.08,"1,401.00","1,390.00","1,385.00","1,115","1,550,666.00",8/2/2000
4,5,NABIL,1401.00,0.07,"1,401.00","1,400.00","1,400.00",216,"302,561.00",8/4/2000
4,5,NABIL,1401.00,0,"1,401.00","1,401.00","1,401.00",264,"369,864.00",8/7/2000
4,5,NABIL,1410.00,0.64,"1,410.00","1,402.00","1,401.00",509,"717,498.00",8/8/2000
6,7,NABIL,1420.00,0.71,"1,425.00","1,410.00","1,410.00","1,418","2,015,426.00",8/9/2000
3,4,NABIL,1410.00,-0.7,"1,410.00","1,410.00","1,420.00",104,"146,640.00",8/10/2000
5,6,NABIL,1450.00,2.84,"1,450.00","1,450.00","1,410.00",106,"153,700.00",8/11/2000
7,8,NABIL,1490.00,2.76,"1,500.00","1,475.00","1,450.00",195,"289,630.00",8/17/2000
8,9,NABIL,1535.00,3.02,"1,535.00","1,525.00","1,490.00",249,"380,985.00",8/18/2000
