Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
51,52,NBL,673.00,115.02,673,673,313,"2,343","1,576,839.00",1/30/2002
42,43,NBL,256.00,-61.96,395,256,673,"22,060","5,655,240.00",12/17/2012
37,38,NBL,414.00,61.72,414,414,256,10,"4,140.00",12/18/2012
42,43,NBL,450.00,8.7,450,434,414,40,"17,600.00",12/19/2012
36,37,NBL,490.00,8.89,490,472,450,31,"14,911.00",12/20/2012
39,40,NBL,534.00,8.98,534,514,490,40,"20,960.00",12/23/2012
45,46,NBL,609.00,14.04,609,544,534,"1,292","771,064.00",12/24/2012
46,47,NBL,645.00,5.91,645,598,609,91,"57,505.00",12/26/2012
44,45,NBL,709.00,9.92,709,677,645,"1,260","869,590.00",12/27/2012
41,42,NBL,779.00,9.87,779,744,709,"6,361","4,806,717.00",12/31/2012
42,43,NBL,856.00,9.88,856,817,779,40,"33,550.00",1/1/2013
42,43,NBL,941.00,9.93,941,898,856,"8,498","7,956,204.00",1/2/2013
44,45,NBL,1035.00,9.99,"1,035.00",959,941,"1,573","1,598,092.00",1/3/2013
45,46,NBL,1138.00,9.95,"1,138.00","1,086.00","1,035.00","4,983","5,655,938.00",1/6/2013
44,45,NBL,1251.00,9.93,"1,251.00","1,194.00","1,138.00","11,538","14,413,998.00",1/7/2013
28,29,NBL,1295.00,3.52,"1,321.00","1,251.00","1,251.00","8,462","10,966,741.00",1/8/2013
42,43,NBL,1166.00,-9.96,"1,270.00","1,166.00","1,295.00","5,575","6,740,564.00",1/9/2013
40,41,NBL,1050.00,-9.95,"1,143.00","1,050.00","1,166.00","2,609","2,742,956.00",1/10/2013
41,42,NBL,1000.00,-4.76,"1,029.00",990,"1,050.00","8,816","8,818,154.00",1/13/2013
41,42,NBL,950.00,-5,999,948,"1,000.00","4,209","4,021,313.00",1/15/2013
41,42,NBL,931.00,-2,940,919,950,"1,956","1,816,815.00",1/16/2013
45,46,NBL,926.00,-0.54,932,915,931,"3,713","3,421,899.00",1/17/2013
36,37,NBL,903.00,-2.48,935,884,926,"1,931","1,750,567.00",1/20/2013
41,42,NBL,917.00,1.55,935,895,903,"1,308","1,185,236.00",1/21/2013
43,44,NBL,950.00,3.6,969,904,917,607,"562,899.00",1/22/2013
46,47,NBL,970.00,2.11,975,935,950,"1,882","1,803,209.00",1/23/2013
44,45,NBL,950.00,-2.06,989,925,970,"1,717","1,617,282.00",1/24/2013
46,47,NBL,930.00,-2.11,965,920,950,"1,613","1,506,340.00",1/27/2013
42,43,NBL,924.00,-0.65,932,915,930,"2,067","1,902,573.00",1/28/2013
48,49,NBL,930.00,0.65,936,921,924,855,"791,581.00",1/30/2013
49,50,NBL,930.00,0,940,925,930,"1,442","1,337,814.00",1/31/2013
43,44,NBL,919.00,-1.18,940,919,930,"2,609","2,425,144.00",2/3/2013
46,47,NBL,920.00,0.11,930,902,919,"1,557","1,424,722.00",2/4/2013
45,46,NBL,921.00,0.11,930,910,920,"1,868","1,712,030.00",2/5/2013
40,41,NBL,907.00,-1.52,917,905,921,"1,037","945,712.00",2/6/2013
36,37,NBL,920.00,1.43,920,892,907,"1,392","1,245,854.00",2/7/2013
42,43,NBL,900.00,-2.17,905,900,920,618,"557,517.00",2/10/2013
42,43,NBL,880.00,-2.22,912,880,900,"4,393","3,917,397.00",2/12/2013
48,49,NBL,897.00,1.93,905,840,880,"21,258","17,900,617.00",2/13/2013
45,46,NBL,808.00,-9.92,880,808,897,"13,260","10,933,606.00",2/14/2013
42,43,NBL,800.00,-0.99,825,797,808,"3,313","2,661,936.00",2/19/2013
44,45,NBL,791.00,-1.12,816,784,800,"3,091","2,467,603.00",2/20/2013
41,42,NBL,780.00,-1.39,805,780,791,"2,252","1,773,607.00",2/21/2013
40,41,NBL,762.00,-2.31,779,736,780,"3,195","2,405,082.00",2/24/2013
43,44,NBL,725.00,-4.86,770,717,762,"2,420","1,772,580.00",2/25/2013
38,39,NBL,700.00,-3.45,714,695,725,"1,765","1,241,681.00",2/26/2013
46,47,NBL,687.00,-1.86,700,685,700,"1,607","1,107,145.00",2/27/2013
41,42,NBL,686.00,-0.15,702,685,687,"1,121","771,191.00",2/28/2013
45,46,NBL,680.00,-0.87,714,680,686,"1,388","958,194.00",3/3/2013
44,45,NBL,683.00,0.44,683,667,680,"1,069","725,390.00",3/4/2013
47,48,NBL,670.00,-1.9,696,670,683,"1,618","1,102,216.00",3/5/2013
43,44,NBL,660.00,-1.49,683,657,670,"3,071","2,037,043.00",3/6/2013
49,50,NBL,632.00,-4.24,673,632,660,"4,218","2,718,300.00",3/7/2013
50,51,NBL,645.00,2.06,652,630,632,"3,483","2,221,335.00",3/11/2013
50,51,NBL,660.00,2.33,660,650,645,523,"342,680.00",3/13/2013
46,47,NBL,680.00,3.03,680,653,660,"2,852","1,892,020.00",3/14/2013
48,49,NBL,680.00,0,688,673,680,"1,952","1,318,324.00",3/17/2013
46,47,NBL,680.00,0,680,670,680,819,"553,820.00",3/18/2013
48,49,NBL,686.00,0.88,694,680,680,474,"327,514.00",3/19/2013
49,50,NBL,673.00,-1.9,673,673,686,781,"525,613.00",3/20/2013
46,47,NBL,666.00,-1.04,693,666,673,924,"623,453.00",3/21/2013
44,45,NBL,652.00,-2.1,670,640,666,"1,488","970,676.00",3/24/2013
46,47,NBL,665.00,1.99,665,647,652,520,"342,016.00",3/25/2013
48,49,NBL,665.00,0,675,656,665,596,"396,052.00",3/27/2013
41,42,NBL,652.00,-1.95,675,652,665,"1,635","1,073,622.00",3/28/2013
43,44,NBL,650.00,-0.31,659,648,652,597,"388,524.00",3/31/2013
47,48,NBL,640.00,-1.54,645,637,650,"2,200","1,406,900.00",4/1/2013
46,47,NBL,641.00,0.16,645,635,640,"1,725","1,103,777.00",4/2/2013
42,43,NBL,640.00,-0.16,652,636,641,"2,128","1,361,638.00",4/3/2013
45,46,NBL,638.00,-0.31,641,631,640,926,"589,698.00",4/4/2013
45,46,NBL,639.00,0.16,645,636,638,"1,254","801,483.00",4/7/2013
46,47,NBL,641.00,0.31,650,638,639,963,"618,997.00",4/8/2013
50,51,NBL,685.00,6.86,703,640,641,"5,896","3,931,248.00",4/9/2013
51,52,NBL,727.00,6.13,744,685,685,"6,685","4,769,314.00",4/11/2013
47,48,NBL,758.00,4.26,760,720,727,"3,605","2,669,178.00",4/15/2013
47,48,NBL,753.00,-0.66,753,739,758,"2,554","1,899,130.00",4/16/2013
42,43,NBL,738.00,-1.99,751,738,753,738,"546,777.00",4/17/2013
44,45,NBL,710.00,-3.79,733,701,738,"1,677","1,197,464.00",4/18/2013
40,41,NBL,705.00,-0.7,710,697,710,741,"519,105.00",4/21/2013
33,34,NBL,702.00,-0.43,703,689,705,560,"388,989.00",4/22/2013
42,43,NBL,700.00,-0.28,715,686,702,"7,895","5,529,636.00",4/23/2013
40,41,NBL,705.00,0.71,706,686,700,"2,462","1,707,725.00",4/25/2013
47,48,NBL,699.00,-0.85,719,695,705,"1,420","993,580.00",4/28/2013
44,45,NBL,695.00,-0.57,708,678,699,"2,872","1,983,200.00",4/29/2013
49,50,NBL,626.00,-9.93,695,626,695,"13,940","8,876,861.00",4/30/2013
43,44,NBL,564.00,-9.9,615,564,626,"8,316","4,721,985.00",5/2/2013
41,42,NBL,508.00,-9.93,555,508,564,"11,463","5,856,619.00",5/5/2013
36,37,NBL,521.00,2.56,521,458,508,"293,777","143,006,152.00",5/6/2013
45,46,NBL,530.00,1.73,558,496,521,"29,919","15,680,317.00",5/7/2013
42,43,NBL,532.00,0.38,543,490,530,"140,540","71,008,218.00",5/8/2013
45,46,NBL,145.00,-72.74,145,143,532,135,"19,485.00",5/9/2013
43,44,NBL,159.00,9.66,159,152,145,40,"6,240.00",5/22/2013
47,48,NBL,174.00,9.43,174,162,159,60,"10,080.00",5/23/2013
44,45,NBL,191.00,9.77,191,177,174,120,"21,950.00",5/26/2013
47,48,NBL,185.00,-3.14,204,185,191,"3,065","587,055.00",5/27/2013
47,48,NBL,170.00,-8.11,182,170,185,"3,812","667,621.00",5/28/2013
43,44,NBL,177.00,4.12,177,170,170,"1,153","199,463.00",5/30/2013
47,48,NBL,176.00,-0.56,176,173,177,"1,170","203,954.00",6/2/2013
46,47,NBL,173.00,-1.7,174,172,176,"2,302","398,225.00",6/3/2013
50,51,NBL,170.00,-1.73,170,170,173,20,"3,400.00",6/4/2013
43,44,NBL,168.00,-1.18,173,168,170,937,"159,551.00",6/5/2013
50,51,NBL,166.00,-1.19,168,165,168,"1,250","208,250.00",6/6/2013
48,49,NBL,164.00,-1.2,166,164,166,425,"70,300.00",6/9/2013
52,53,NBL,168.00,2.44,168,163,164,"3,093","510,434.00",6/10/2013
45,46,NBL,165.00,-1.79,165,165,168,240,"39,600.00",6/11/2013
48,49,NBL,162.00,-1.82,165,161,165,"3,937","640,718.00",6/12/2013
50,51,NBL,162.00,0,162,162,162,602,"97,524.00",6/13/2013
40,41,NBL,162.00,0,162,159,162,252,"40,543.00",6/16/2013
51,52,NBL,163.00,0.62,163,161,162,696,"113,002.00",6/18/2013
45,46,NBL,162.00,-0.61,165,162,163,271,"44,055.00",6/19/2013
49,50,NBL,162.00,0,162,159,162,200,"32,100.00",6/20/2013
43,44,NBL,156.00,-3.7,159,156,162,200,"31,500.00",6/23/2013
50,51,NBL,150.00,-3.85,155,150,156,"1,088","164,050.00",6/24/2013
45,46,NBL,149.00,-0.67,152,146,150,"4,291","633,686.00",6/25/2013
51,52,NBL,153.00,2.68,156,150,149,"2,618","394,148.00",6/26/2013
50,51,NBL,157.00,2.61,160,153,153,"1,660","258,320.00",6/27/2013
47,48,NBL,161.00,2.55,161,157,157,"1,507","238,936.00",6/30/2013
46,47,NBL,158.00,-1.86,160,158,161,"3,204","508,846.00",7/1/2013
52,53,NBL,155.00,-1.9,158,152,158,"2,012","311,222.00",7/2/2013
48,49,NBL,159.00,2.58,159,156,155,"1,080","169,147.00",7/3/2013
52,53,NBL,159.00,0,162,158,159,641,"102,415.00",7/4/2013
