Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
48,49,NICA,504.00,-32.8,504,477,750,40,"19,620.00",7/14/2013
58,59,NICA,554.00,9.92,554,529,504,40,"21,710.00",7/15/2013
53,54,NICA,609.00,9.93,609,565,554,150,"89,304.00",7/17/2013
56,57,NICA,669.00,9.85,669,621,609,"1,706","1,138,866.00",7/18/2013
50,51,NICA,735.00,9.87,735,682,669,"12,269","8,950,432.00",7/21/2013
61,62,NICA,748.00,1.77,808,736,735,"50,250","37,760,016.00",7/22/2013
59,60,NICA,737.00,-1.47,750,736,748,"23,541","17,395,383.00",7/23/2013
55,56,NICA,710.00,-3.66,739,697,737,"25,879","18,372,368.00",7/24/2013
51,52,NICA,697.00,-1.83,705,690,710,"12,985","8,987,569.00",7/25/2013
52,53,NICA,700.00,0.43,705,690,697,"12,444","8,655,731.00",7/28/2013
61,62,NICA,713.00,1.86,714,700,700,"12,604","8,939,723.00",7/29/2013
56,57,NICA,733.00,2.81,739,710,713,"11,888","8,590,758.00",7/30/2013
58,59,NICA,732.00,-0.14,743,720,733,"16,045","11,787,525.00",7/31/2013
60,61,NICA,726.00,-0.82,746,722,732,"16,832","12,302,375.00",8/1/2013
63,64,NICA,710.00,-2.2,730,710,726,"13,593","9,764,636.00",8/4/2013
58,59,NICA,702.00,-1.13,710,690,710,"10,674","7,425,449.00",8/5/2013
61,62,NICA,700.00,-0.28,707,662,702,"10,700","7,376,725.00",8/6/2013
63,64,NICA,690.00,-1.43,707,686,700,"9,805","6,753,569.00",8/7/2013
58,59,NICA,670.00,-2.9,690,670,690,"21,368","14,503,554.00",8/8/2013
64,65,NICA,663.00,-1.04,670,660,670,"6,558","4,354,716.00",8/11/2013
68,69,NICA,657.00,-0.9,664,655,663,"5,132","3,383,283.00",8/12/2013
65,66,NICA,658.00,0.15,665,650,657,"4,580","3,018,553.00",8/13/2013
62,63,NICA,628.00,-4.56,655,628,658,"10,225","6,616,400.00",8/14/2013
69,70,NICA,614.00,-2.23,628,604,628,"10,293","6,374,502.00",8/15/2013
59,60,NICA,638.00,3.91,642,614,614,"8,933","5,678,281.00",8/18/2013
65,66,NICA,640.00,0.31,649,632,638,"4,023","2,567,553.00",8/19/2013
71,72,NICA,647.00,1.09,652,635,640,"11,568","7,471,614.00",8/20/2013
68,69,NICA,644.00,-0.46,647,638,647,"6,208","3,985,282.00",8/25/2013
64,65,NICA,631.00,-2.02,645,628,644,"6,237","3,933,815.00",8/26/2013
63,64,NICA,640.00,1.43,650,626,631,"11,433","7,327,615.00",8/27/2013
63,64,NICA,638.00,-0.31,645,631,640,"23,136","14,663,564.00",8/29/2013
64,65,NICA,635.00,-0.47,638,630,638,"7,678","4,853,161.00",9/1/2013
67,68,NICA,635.00,0,641,626,635,"10,758","6,836,257.00",9/2/2013
65,66,NICA,630.00,-0.79,638,629,635,"20,263","12,768,397.00",9/3/2013
67,68,NICA,625.00,-0.79,642,622,630,"3,978","2,486,535.00",9/4/2013
64,65,NICA,625.00,0,625,621,625,"4,271","2,663,930.00",9/5/2013
59,60,NICA,621.00,-0.64,634,620,625,"21,774","13,534,549.00",9/8/2013
61,62,NICA,633.00,1.93,634,620,621,"8,818","5,556,509.00",9/9/2013
67,68,NICA,620.00,-2.05,638,620,633,"5,479","3,447,803.00",9/10/2013
66,67,NICA,625.00,0.81,625,616,620,"8,212","5,103,595.00",9/11/2013
57,58,NICA,622.00,-0.48,622,619,625,"1,797","1,114,701.00",9/12/2013
70,71,NICA,618.00,-0.64,623,618,622,"4,941","3,066,631.00",9/15/2013
63,64,NICA,615.00,-0.49,617,605,618,"3,632","2,224,259.00",9/16/2013
64,65,NICA,611.00,-0.65,614,608,615,"6,735","4,118,403.00",9/17/2013
61,62,NICA,610.00,-0.16,610,600,611,"5,987","3,602,338.00",9/19/2013
69,70,NICA,594.00,-2.62,598,587,610,"2,361","1,399,735.00",9/22/2013
58,59,NICA,596.00,0.34,596,584,594,"6,184","3,643,762.00",9/23/2013
60,61,NICA,603.00,1.17,604,597,596,"5,223","3,139,471.00",9/24/2013
58,59,NICA,598.00,-0.83,598,590,603,"3,376","2,008,305.00",9/25/2013
55,56,NICA,594.00,-0.67,605,593,598,"2,222","1,322,867.00",9/26/2013
63,64,NICA,593.00,-0.17,594,588,594,"5,097","3,009,815.00",9/29/2013
57,58,NICA,584.00,-1.52,590,581,593,"2,382","1,395,864.00",9/30/2013
57,58,NICA,584.00,0,589,581,584,"3,171","1,856,604.00",10/1/2013
54,55,NICA,595.00,1.88,596,579,584,"1,017","594,448.00",10/2/2013
57,58,NICA,595.00,0,595,584,595,"2,064","1,215,128.00",10/3/2013
50,51,NICA,607.00,2.02,607,587,595,"2,617","1,562,656.00",10/6/2013
59,60,NICA,622.00,2.47,646,599,607,431,"264,381.00",10/7/2013
55,56,NICA,615.00,-1.13,617,605,622,"1,616","987,970.00",10/8/2013
44,45,NICA,615.00,0,615,595,615,944,"575,065.00",10/9/2013
46,47,NICA,620.00,0.81,620,603,615,"2,612","1,609,031.00",10/10/2013
35,36,NICA,635.00,2.42,647,620,620,"2,059","1,310,164.00",10/17/2013
50,51,NICA,660.00,3.94,663,635,635,"7,738","5,082,452.00",10/20/2013
51,52,NICA,666.00,0.91,693,652,660,"9,821","6,676,177.00",10/21/2013
56,57,NICA,645.00,-3.15,665,645,666,"9,367","6,115,328.00",10/22/2013
51,52,NICA,640.00,-0.78,644,635,645,"3,207","2,053,265.00",10/23/2013
54,55,NICA,638.00,-0.31,641,630,640,"4,392","2,791,280.00",10/24/2013
54,55,NICA,627.00,-1.72,643,610,638,"20,010","12,236,459.00",10/27/2013
48,49,NICA,620.00,-1.12,621,613,627,"4,234","2,613,891.00",10/28/2013
55,56,NICA,630.00,1.61,640,618,620,"7,580","4,712,523.00",10/29/2013
53,54,NICA,641.00,1.75,641,616,630,"4,278","2,723,268.00",10/30/2013
56,57,NICA,630.00,-1.72,645,622,641,"13,446","8,512,122.00",10/31/2013
44,45,NICA,627.00,-0.48,627,615,630,"1,100","683,804.00",11/6/2013
57,58,NICA,635.00,1.28,655,628,627,"3,833","2,431,873.00",11/7/2013
48,49,NICA,630.00,-0.79,642,630,635,"5,508","3,496,064.00",11/10/2013
48,49,NICA,654.00,3.81,654,627,630,"5,107","3,235,670.00",11/11/2013
50,51,NICA,655.00,0.15,685,650,654,"6,554","4,324,170.00",11/12/2013
54,55,NICA,645.00,-1.53,667,636,655,"17,494","11,386,938.00",11/13/2013
54,55,NICA,647.00,0.31,647,639,645,"6,439","4,139,524.00",11/14/2013
31,32,NICA,695.00,7.42,708,659,647,"7,277","4,963,838.00",11/21/2013
54,55,NICA,698.00,0.43,764,687,695,"18,544","13,237,078.00",11/24/2013
56,57,NICA,668.00,-4.3,698,664,698,"9,430","6,404,833.00",11/25/2013
57,58,NICA,671.00,0.45,685,660,668,"7,622","5,109,158.00",11/26/2013
59,60,NICA,658.00,-1.94,675,651,671,"2,173","1,423,523.00",11/27/2013
59,60,NICA,651.00,-1.06,660,640,658,"7,138","4,639,022.00",11/28/2013
57,58,NICA,650.00,-0.15,662,645,651,"107,794","70,097,309.00",12/1/2013
59,60,NICA,670.00,3.08,693,650,650,"31,973","21,288,061.00",12/2/2013
64,65,NICA,692.00,3.28,695,682,670,"21,886","15,079,241.00",12/3/2013
65,66,NICA,715.00,3.32,732,691,692,"31,863","22,837,826.00",12/4/2013
71,72,NICA,724.00,1.26,743,706,715,"60,375","43,795,457.00",12/5/2013
70,71,NICA,710.00,-1.93,726,700,724,"15,956","11,355,767.00",12/8/2013
71,72,NICA,709.00,-0.14,719,705,710,"5,129","3,639,540.00",12/9/2013
67,68,NICA,700.00,-1.27,709,691,709,"7,355","5,151,109.00",12/10/2013
71,72,NICA,711.00,1.57,720,703,700,"16,483","11,723,083.00",12/11/2013
68,69,NICA,724.00,1.83,724,697,711,"30,679","21,865,344.00",12/12/2013
66,67,NICA,742.00,2.49,745,709,724,"59,921","43,439,981.00",12/15/2013
60,61,NICA,816.00,9.97,816,756,742,"36,619","29,625,753.00",12/16/2013
57,58,NICA,897.00,9.93,897,824,816,"41,249","36,551,053.00",12/18/2013
62,63,NICA,879.00,-2.01,900,808,897,"60,364","50,943,220.00",12/19/2013
71,72,NICA,836.00,-4.89,875,810,879,"52,786","43,670,578.00",12/22/2013
63,64,NICA,783.00,-6.34,825,775,836,"29,079","22,916,283.00",12/23/2013
66,67,NICA,803.00,2.55,832,764,783,"24,385","19,329,050.00",12/24/2013
62,63,NICA,815.00,1.49,860,815,803,"22,385","18,687,307.00",12/26/2013
60,61,NICA,815.00,0,818,794,815,"28,367","22,714,025.00",12/29/2013
57,58,NICA,806.00,-1.1,816,799,815,"21,248","17,152,298.00",12/31/2013
57,58,NICA,786.00,-2.48,807,775,806,"15,632","12,348,541.00",1/1/2014
52,53,NICA,804.00,2.29,810,765,786,"7,593","6,018,227.00",1/2/2014
63,64,NICA,795.00,-1.12,805,791,804,"16,534","13,180,832.00",1/5/2014
61,62,NICA,792.00,-0.38,796,790,795,"6,700","5,307,085.00",1/6/2014
59,60,NICA,799.00,0.88,804,790,792,"6,021","4,796,544.00",1/7/2014
63,64,NICA,796.00,-0.38,805,795,799,"10,346","8,272,575.00",1/8/2014
64,65,NICA,799.00,0.38,800,792,796,"6,608","5,256,372.00",1/9/2014
63,64,NICA,817.00,2.25,825,800,799,"18,527","15,105,432.00",1/12/2014
63,64,NICA,817.00,0,835,811,817,"12,308","10,092,924.00",1/13/2014
66,67,NICA,814.00,-0.37,814,800,817,"3,326","2,695,682.00",1/14/2014
63,64,NICA,820.00,0.74,838,815,814,"9,127","7,507,979.00",1/16/2014
58,59,NICA,818.00,-0.24,825,805,820,"3,190","2,618,603.00",1/19/2014
67,68,NICA,800.00,-2.2,824,800,818,"6,879","5,575,108.00",1/20/2014
70,71,NICA,796.00,-0.5,806,785,800,"14,635","11,707,858.00",1/21/2014
70,71,NICA,790.00,-0.75,800,766,796,"20,517","16,008,345.00",1/22/2014
68,69,NICA,787.00,-0.38,790,779,790,"4,680","3,679,811.00",1/23/2014
73,74,NICA,791.00,0.51,800,782,787,"8,519","6,743,396.00",1/26/2014
70,71,NICA,792.00,0.13,800,780,791,"6,808","5,355,910.00",1/27/2014
65,66,NICA,792.00,0,800,777,792,"13,553","10,714,786.00",1/28/2014
66,67,NICA,781.00,-1.39,791,779,792,"10,585","8,295,129.00",1/29/2014
67,68,NICA,780.00,-0.13,789,770,781,"11,892","9,243,302.00",2/2/2014
70,71,NICA,775.00,-0.64,779,765,780,"16,812","12,971,006.00",2/3/2014
64,65,NICA,779.00,0.52,779,750,775,"18,976","14,553,486.00",2/4/2014
75,76,NICA,780.00,0.13,780,760,779,"3,407","2,618,121.00",2/5/2014
71,72,NICA,774.00,-0.77,785,770,780,"2,658","2,063,286.00",2/6/2014
71,72,NICA,795.00,2.71,795,771,774,"7,846","6,118,702.00",2/9/2014
63,64,NICA,801.00,0.75,867,800,795,"12,247","10,064,592.00",2/10/2014
66,67,NICA,791.00,-1.25,802,786,801,"5,256","4,167,686.00",2/11/2014
73,74,NICA,800.00,1.14,806,790,791,"4,331","3,459,946.00",2/12/2014
66,67,NICA,808.00,1,809,799,800,"5,315","4,267,688.00",2/13/2014
65,66,NICA,780.00,-3.47,795,776,808,"3,199","2,502,638.00",2/16/2014
72,73,NICA,785.00,0.64,795,780,780,"3,027","2,378,866.00",2/17/2014
71,72,NICA,795.00,1.27,799,782,785,"1,816","1,439,028.00",2/18/2014
67,68,NICA,804.00,1.13,811,800,795,"4,581","3,687,966.00",2/20/2014
68,69,NICA,810.00,0.75,820,800,804,"6,943","5,621,022.00",2/23/2014
70,71,NICA,786.00,-2.96,825,780,810,"11,483","9,183,281.00",2/24/2014
68,69,NICA,800.00,1.78,800,780,786,"5,271","4,130,940.00",2/25/2014
66,67,NICA,780.00,-2.5,800,780,800,"4,496","3,542,253.00",2/26/2014
60,61,NICA,770.00,-1.28,775,762,780,"2,089","1,600,088.00",3/3/2014
56,57,NICA,770.00,0,772,750,770,"4,838","3,684,132.00",3/4/2014
64,65,NICA,779.00,1.17,785,762,770,"3,715","2,907,706.00",3/5/2014
73,74,NICA,775.00,-0.51,790,760,779,"3,687","2,844,315.00",3/6/2014
71,72,NICA,751.00,-3.1,769,751,775,"3,723","2,823,326.00",3/9/2014
62,63,NICA,750.00,-0.13,760,740,751,"7,162","5,338,961.00",3/10/2014
65,66,NICA,738.00,-1.6,745,736,750,"2,745","2,035,358.00",3/11/2014
63,64,NICA,733.00,-0.68,741,730,738,"4,187","3,070,072.00",3/12/2014
69,70,NICA,750.00,2.32,750,735,733,"4,580","3,387,594.00",3/13/2014
69,70,NICA,730.00,-2.67,745,730,750,"4,751","3,494,833.00",3/17/2014
59,60,NICA,700.00,-4.11,740,700,730,"16,038","11,485,073.00",3/18/2014
64,65,NICA,717.00,2.43,729,701,700,"4,123","2,927,842.00",3/19/2014
65,66,NICA,715.00,-0.28,721,710,717,"5,069","3,626,544.00",3/20/2014
66,67,NICA,716.00,0.14,717,710,715,"4,683","3,335,862.00",3/23/2014
68,69,NICA,721.00,0.7,729,700,716,"8,026","5,703,350.00",3/24/2014
67,68,NICA,720.00,-0.14,720,707,721,"9,221","6,544,592.00",3/25/2014
73,74,NICA,730.00,1.39,731,720,720,"1,444","1,044,927.00",3/26/2014
71,72,NICA,715.00,-2.05,732,715,730,"6,735","4,861,227.00",3/27/2014
72,73,NICA,734.00,2.66,734,702,715,"1,398","1,005,450.00",3/31/2014
75,76,NICA,745.00,1.5,759,725,734,"4,735","3,475,586.00",4/1/2014
75,76,NICA,757.00,1.61,757,730,745,"10,955","8,063,491.00",4/2/2014
75,76,NICA,740.00,-2.25,760,740,757,"2,134","1,608,175.00",4/3/2014
73,74,NICA,727.00,-1.76,734,723,740,"4,714","3,438,757.00",4/6/2014
66,67,NICA,725.00,-0.28,739,720,727,"2,640","1,911,845.00",4/7/2014
68,69,NICA,721.00,-0.55,728,716,725,"5,757","4,158,760.00",4/9/2014
68,69,NICA,715.00,-0.83,740,715,721,"5,565","4,046,433.00",4/10/2014
71,72,NICA,735.00,2.8,749,718,715,"6,589","4,845,354.00",4/13/2014
68,69,NICA,736.00,0.14,745,736,735,"2,297","1,700,066.00",4/15/2014
65,66,NICA,724.00,-1.63,736,720,736,"4,591","3,325,101.00",4/16/2014
70,71,NICA,725.00,0.14,735,717,724,"4,537","3,279,309.00",4/17/2014
71,72,NICA,723.00,-0.28,726,715,725,"5,125","3,689,389.00",4/20/2014
71,72,NICA,723.00,0,726,715,723,"4,316","3,106,616.00",4/21/2014
71,72,NICA,725.00,0.28,725,716,723,"5,733","4,135,783.00",4/22/2014
72,73,NICA,730.00,0.69,735,718,725,"10,248","7,449,686.00",4/23/2014
70,71,NICA,723.00,-0.96,736,720,730,"4,846","3,531,500.00",4/27/2014
70,71,NICA,718.00,-0.69,725,710,723,"7,193","5,146,756.00",4/28/2014
73,74,NICA,707.00,-1.53,728,705,718,"10,800","7,646,758.00",4/29/2014
68,69,NICA,713.00,0.85,719,707,707,"6,400","4,547,989.00",4/30/2014
69,70,NICA,708.00,-0.7,715,707,713,"10,809","7,670,236.00",5/4/2014
68,69,NICA,750.00,5.93,750,705,708,"14,100","10,289,492.00",5/5/2014
75,76,NICA,768.00,2.4,783,747,750,"18,763","14,251,966.00",5/6/2014
78,79,NICA,755.00,-1.69,782,753,768,"12,773","9,833,114.00",5/7/2014
71,72,NICA,752.00,-0.4,758,735,755,"1,781","1,322,078.00",5/8/2014
76,77,NICA,745.00,-0.93,745,727,752,"11,597","8,518,616.00",5/11/2014
74,75,NICA,740.00,-0.67,746,731,745,"7,125","5,272,150.00",5/12/2014
76,77,NICA,761.00,2.84,785,750,740,"17,364","13,140,139.00",5/13/2014
69,70,NICA,759.00,-0.26,767,748,761,"11,616","8,824,029.00",5/15/2014
76,77,NICA,761.00,0.26,765,750,759,"5,565","4,204,304.00",5/18/2014
72,73,NICA,741.00,-2.63,756,740,761,"7,628","5,702,809.00",5/19/2014
78,79,NICA,735.00,-0.81,749,730,741,"7,385","5,454,187.00",5/20/2014
74,75,NICA,754.00,2.59,754,739,735,"3,031","2,256,209.00",5/21/2014
82,83,NICA,755.00,0.13,758,750,754,"2,592","1,947,141.00",5/22/2014
75,76,NICA,752.00,-0.4,759,750,755,"5,524","4,164,546.00",5/25/2014
80,81,NICA,745.00,-0.93,756,742,752,"2,733","2,045,182.00",5/26/2014
75,76,NICA,740.00,-0.67,748,734,745,"7,178","5,311,762.00",5/27/2014
80,81,NICA,743.00,0.41,750,731,740,"9,179","6,811,889.00",5/28/2014
86,87,NICA,768.00,3.36,774,736,743,"13,720","10,503,435.00",6/1/2014
78,79,NICA,782.00,1.82,800,768,768,"15,161","11,808,592.00",6/2/2014
85,86,NICA,790.00,1.02,817,787,782,"15,492","12,370,667.00",6/3/2014
77,78,NICA,790.00,0,802,783,790,"13,781","10,943,501.00",6/4/2014
78,79,NICA,797.00,0.89,803,770,790,"12,192","9,641,925.00",6/5/2014
74,75,NICA,815.00,2.26,819,782,797,"10,745","8,702,170.00",6/8/2014
78,79,NICA,820.00,0.61,830,790,815,"12,221","10,010,128.00",6/9/2014
80,81,NICA,823.00,0.37,832,784,820,"16,308","13,309,693.00",6/10/2014
82,83,NICA,844.00,2.55,852,820,823,"20,869","17,477,704.00",6/11/2014
79,80,NICA,843.00,-0.12,850,834,844,"18,238","15,379,828.00",6/12/2014
71,72,NICA,890.00,5.58,895,845,843,"20,485","17,882,124.00",6/15/2014
72,73,NICA,900.00,1.12,916,882,890,"25,640","23,144,071.00",6/16/2014
82,83,NICA,898.00,-0.22,912,871,900,"28,669","25,734,606.00",6/17/2014
82,83,NICA,887.00,-1.22,904,880,898,"13,840","12,372,724.00",6/18/2014
79,80,NICA,871.00,-1.8,890,860,887,"14,307","12,462,417.00",6/19/2014
66,67,NICA,870.00,-0.11,880,853,871,"7,306","6,306,790.00",6/23/2014
73,74,NICA,870.00,0,880,859,870,"10,860","9,447,955.00",6/24/2014
76,77,NICA,877.00,0.8,882,866,870,"9,500","8,344,534.00",6/25/2014
78,79,NICA,872.00,-0.57,885,868,877,"6,923","6,051,145.00",6/26/2014
73,74,NICA,890.00,2.06,895,880,872,"12,909","11,445,287.00",6/29/2014
77,78,NICA,886.00,-0.45,890,870,890,"7,923","7,006,430.00",6/30/2014
85,86,NICA,884.00,-0.23,893,880,886,"9,541","8,464,908.00",7/1/2014
75,76,NICA,889.00,0.57,895,885,884,"7,558","6,719,664.00",7/2/2014
77,78,NICA,885.00,-0.45,893,880,889,"16,605","14,717,298.00",7/3/2014
83,84,NICA,890.00,0.56,890,870,885,"18,115","15,994,805.00",7/6/2014
92,93,NICA,915.00,2.81,928,885,890,"7,383","6,672,454.00",7/7/2014
91,92,NICA,930.00,1.64,945,910,915,"18,850","17,558,374.00",7/8/2014
79,80,NICA,955.00,2.69,955,912,930,"5,121","4,750,083.00",7/9/2014
81,82,NICA,988.00,3.46,988,920,955,"24,045","22,906,605.00",7/10/2014
83,84,NICA,991.00,0.3,"1,029.00",976,988,"28,002","27,785,160.00",7/13/2014
82,83,NICA,980.00,-1.11,"1,000.00",965,991,"3,750","3,657,649.00",7/14/2014
83,84,NICA,979.00,-0.1,988,963,980,"7,551","7,317,705.00",7/15/2014
89,90,NICA,970.00,-0.92,990,968,979,"7,162","6,979,640.00",7/16/2014
92,93,NICA,973.00,0.31,989,960,970,"13,097","12,755,747.00",7/17/2014
86,87,NICA,985.00,1.23,"1,010.00",973,973,"14,869","14,668,210.00",7/20/2014
87,88,NICA,982.00,-0.3,"1,005.00",970,985,"21,108","20,885,261.00",7/21/2014
90,91,NICA,970.00,-1.22,982,965,982,"21,987","21,320,306.00",7/22/2014
89,90,NICA,980.00,1.03,985,960,970,"18,748","18,117,712.00",7/23/2014
91,92,NICA,966.00,-1.43,980,951,980,"13,607","13,163,756.00",7/24/2014
86,87,NICA,960.00,-0.62,985,950,966,"10,803","10,411,749.00",7/27/2014
75,76,NICA,970.00,1.04,972,941,960,"4,356","4,180,139.00",7/28/2014
92,93,NICA,950.00,-2.06,969,950,970,"18,498","17,665,961.00",7/30/2014
91,92,NICA,950.00,0,959,941,950,"6,282","5,974,882.00",7/31/2014
90,91,NICA,931.00,-2,945,926,950,"9,122","8,536,242.00",8/3/2014
82,83,NICA,920.00,-1.18,940,910,931,"10,581","9,745,463.00",8/4/2014
