Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
8,9,NMB,369.00,-13.18,388,369,425,50,"18,830.00",1/25/2001
10,11,NMB,317.00,-14.09,333,317,369,60,"19,180.00",1/26/2001
13,14,NMB,295.00,-6.94,305,290,317,"2,260","669,270.00",1/30/2001
14,15,NMB,295.00,0,295,290,295,"2,440","708,890.00",1/31/2001
15,16,NMB,301.00,2.03,301,292,295,"2,520","755,780.00",2/1/2001
12,13,NMB,295.00,-1.99,295,291,301,960,"282,640.00",2/2/2001
13,14,NMB,285.00,-3.39,290,280,295,"1,750","496,970.00",2/5/2001
14,15,NMB,265.00,-7.02,275,265,285,680,"184,750.00",2/6/2001
10,11,NMB,250.00,-5.66,255,250,265,"1,970","493,180.00",2/7/2001
12,13,NMB,256.00,2.4,260,250,250,520,"132,240.00",2/8/2001
9,10,NMB,263.00,2.73,265,260,256,480,"125,750.00",2/9/2001
7,8,NMB,261.00,-0.76,261,255,263,"1,060","275,000.00",2/12/2001
8,9,NMB,265.00,1.53,266,260,261,"2,060","544,200.00",2/13/2001
9,10,NMB,271.00,2.26,275,270,265,960,"259,740.00",2/14/2001
7,8,NMB,290.00,7.01,290,270,271,"1,610","460,600.00",2/15/2001
8,9,NMB,275.00,-5.17,280,272,290,900,"247,550.00",2/16/2001
7,8,NMB,285.00,3.64,285,280,275,280,"78,450.00",2/19/2001
12,13,NMB,280.00,-1.75,280,280,285,840,"235,200.00",2/20/2001
6,7,NMB,270.00,-3.57,275,268,280,"1,180","319,170.00",2/22/2001
12,13,NMB,261.00,-3.33,261,255,270,"1,060","272,750.00",2/23/2001
8,9,NMB,254.00,-2.68,270,245,261,760,"193,040.00",2/27/2001
10,11,NMB,235.00,-7.48,245,235,254,560,"133,500.00",2/28/2001
7,8,NMB,236.00,0.43,236,225,235,890,"206,740.00",3/1/2001
6,7,NMB,240.00,1.69,240,240,236,240,"57,600.00",3/2/2001
9,10,NMB,250.00,4.17,255,245,240,880,"221,650.00",3/5/2001
7,8,NMB,256.00,2.4,256,255,250,400,"102,320.00",3/6/2001
13,14,NMB,265.00,3.52,265,256,256,"1,860","491,010.00",3/7/2001
8,9,NMB,267.00,0.75,272,265,265,"1,430","380,600.00",3/8/2001
5,6,NMB,270.00,1.12,270,270,267,"1,700","459,000.00",3/12/2001
8,9,NMB,276.00,2.22,276,275,270,100,"27,530.00",3/13/2001
6,7,NMB,264.00,-4.35,265,264,276,690,"182,520.00",3/14/2001
7,8,NMB,270.00,2.27,270,270,264,50,"13,500.00",3/15/2001
7,8,NMB,250.00,-7.41,260,250,270,580,"146,400.00",3/16/2001
9,10,NMB,264.00,5.6,264,260,250,240,"62,480.00",3/19/2001
10,11,NMB,246.00,-6.82,250,240,264,230,"56,720.00",3/20/2001
11,12,NMB,241.00,-2.03,241,240,246,630,"151,610.00",3/21/2001
9,10,NMB,243.00,0.83,243,241,241,320,"77,460.00",3/22/2001
6,7,NMB,245.00,0.82,245,245,243,170,"41,650.00",3/23/2001
