Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
90,91,PRVU,227.00,9.66,227,211,207,50,"10,950.00",1/4/2015
92,93,PRVU,249.00,9.69,249,231,227,"102,303","25,072,947.00",1/5/2015
97,98,PRVU,271.00,-0.73,288,268,273,"199,210","54,548,014.00",1/7/2015
101,102,PRVU,271.00,0,276,268,271,"52,836","14,362,285.00",1/8/2015
100,101,PRVU,265.00,-2.21,271,263,271,"45,356","12,013,379.00",1/11/2015
98,99,PRVU,267.00,0.75,267,261,265,"39,542","10,431,636.00",1/12/2015
96,97,PRVU,265.00,-0.75,268,257,267,"27,085","7,114,650.00",1/13/2015
98,99,PRVU,269.00,1.51,271,263,265,"17,178","4,585,946.00",1/14/2015
95,96,PRVU,294.00,9.29,294,271,269,"189,547","53,537,200.00",1/18/2015
108,109,PRVU,303.00,3.06,323,294,294,"95,482","29,071,310.00",1/19/2015
93,94,PRVU,299.00,-1.32,311,285,303,"54,658","16,472,523.00",1/20/2015
87,88,PRVU,297.00,-0.67,299,290,299,"31,974","9,443,800.00",1/22/2015
95,96,PRVU,300.00,1.01,302,295,297,"32,235","9,612,160.00",1/25/2015
107,108,PRVU,304.00,1.33,315,297,300,"108,179","32,887,879.00",1/26/2015
105,106,PRVU,302.00,-0.66,306,300,304,"138,206","41,657,709.00",1/27/2015
103,104,PRVU,307.00,1.66,312,300,302,"70,550","21,757,429.00",1/28/2015
99,100,PRVU,304.00,-0.98,313,299,307,"113,634","34,527,865.00",1/29/2015
105,106,PRVU,326.00,7.24,334,306,304,"177,083","57,298,818.00",2/1/2015
103,104,PRVU,317.00,-2.76,328,314,326,"87,493","27,765,816.00",2/2/2015
99,100,PRVU,315.00,-0.63,320,314,317,"27,634","8,711,729.00",2/3/2015
109,110,PRVU,313.00,-0.63,315,309,315,"34,499","10,768,197.00",2/4/2015
103,104,PRVU,314.00,0.32,314,306,313,"29,629","9,150,208.00",2/5/2015
103,104,PRVU,313.00,-0.32,319,310,314,"63,109","19,785,103.00",2/8/2015
101,102,PRVU,313.00,0,315,310,313,"63,959","19,963,284.00",2/9/2015
101,102,PRVU,311.00,-0.32,315,303,312,"47,362","14,700,650.00",2/11/2015
111,112,PRVU,311.00,0,312,308,311,"28,198","8,754,997.00",2/12/2015
108,109,PRVU,315.00,1.29,315,310,311,"44,909","14,076,560.00",2/15/2015
108,109,PRVU,323.00,2.54,323,310,315,"88,333","27,933,053.00",2/16/2015
108,109,PRVU,335.00,3.72,335,321,323,"134,332","43,771,556.00",2/18/2015
101,102,PRVU,330.00,-1.49,343,327,335,"94,575","31,618,409.00",2/22/2015
93,94,PRVU,330.00,0,331,315,330,"77,796","25,048,495.00",2/23/2015
99,100,PRVU,332.00,0.61,335,323,330,"48,684","16,028,004.00",2/24/2015
95,96,PRVU,335.00,0.9,335,328,332,"37,210","12,354,472.00",2/25/2015
47,48,PRVU,340.00,1.49,343,335,335,"27,430","30,269,559.00",2/26/2015
100,101,PRVU,350.00,0.29,360,346,349,"92,783","32,765,338.00",3/1/2015
100,101,PRVU,349.00,-0.29,350,345,350,"30,148","10,468,146.00",3/2/2015
105,106,PRVU,343.00,-1.72,348,342,349,"25,611","8,791,288.00",3/3/2015
105,106,PRVU,341.00,-0.58,354,338,343,"42,694","14,624,279.00",3/4/2015
110,111,PRVU,347.00,1.76,353,344,341,"73,654","25,607,495.00",3/9/2015
103,104,PRVU,340.00,-2.02,348,339,347,"79,413","27,124,191.00",3/10/2015
110,111,PRVU,343.00,0.59,345,341,340,"20,898","7,149,190.00",3/11/2015
108,109,PRVU,342.00,0,348,340,342,"26,536","9,088,691.00",3/12/2015
98,99,PRVU,340.00,-0.58,342,335,342,"13,347","4,507,861.00",3/15/2015
102,103,PRVU,334.00,-1.76,340,332,340,"7,644","2,567,965.00",3/16/2015
99,100,PRVU,340.00,1.8,341,329,334,"14,725","4,954,955.00",3/17/2015
101,102,PRVU,336.00,-1.18,340,335,340,"5,868","1,975,058.00",3/18/2015
99,100,PRVU,339.00,0.89,344,338,336,"14,209","4,824,263.00",3/19/2015
94,95,PRVU,332.00,-2.06,346,332,339,"8,570","2,899,171.00",3/22/2015
97,98,PRVU,330.00,-0.6,340,329,332,"20,269","6,719,187.00",3/23/2015
93,94,PRVU,328.00,-0.61,330,326,330,"67,872","22,282,178.00",3/24/2015
93,94,PRVU,329.00,0.3,330,325,328,"9,668","3,159,312.00",3/25/2015
88,89,PRVU,331.00,0.61,331,324,329,"43,881","14,334,381.00",3/26/2015
83,84,PRVU,330.00,-0.3,333,325,331,"9,720","3,186,054.00",3/29/2015
89,90,PRVU,328.00,-0.61,335,325,330,"13,795","4,498,999.00",3/30/2015
89,90,PRVU,332.00,1.22,336,325,328,"21,375","7,001,642.00",3/31/2015
85,86,PRVU,328.00,-1.2,333,327,332,"7,796","2,560,031.00",4/1/2015
96,97,PRVU,331.00,0.91,336,328,328,"82,404","27,301,042.00",4/2/2015
83,84,PRVU,335.00,1.21,336,329,331,"9,048","2,988,966.00",4/5/2015
87,88,PRVU,334.00,-0.3,335,330,335,"8,859","2,931,198.00",4/6/2015
83,84,PRVU,336.00,0.6,340,331,334,"12,508","4,201,760.00",4/7/2015
94,95,PRVU,342.00,1.79,343,332,336,"22,579","7,619,658.00",4/8/2015
95,96,PRVU,352.00,2.92,352,339,342,"35,860","12,274,761.00",4/9/2015
94,95,PRVU,361.00,2.56,362,348,352,"34,519","12,279,064.00",4/12/2015
