Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
7,8,SBI,726.00,1.4,726,716,716,110,"79,660.00",1/3/2000
14,15,SBI,734.00,1.1,734,733,726,70,"51,320.00",1/4/2000
20,21,SBI,741.00,0.95,750,740,734,370,"277,020.00",1/5/2000
16,17,SBI,750.00,1.21,750,750,741,270,"202,500.00",1/6/2000
14,15,SBI,740.00,-1.33,740,740,750,100,"74,000.00",1/7/2000
18,19,SBI,750.00,1.35,750,740,740,50,"37,100.00",1/10/2000
12,13,SBI,750.00,0,752,742,750,310,"232,440.00",1/13/2000
13,14,SBI,755.00,0.67,755,755,750,50,"37,750.00",1/14/2000
11,12,SBI,756.00,0.13,770,755,755,380,"287,070.00",1/17/2000
8,9,SBI,760.00,0.53,760,756,756,90,"68,170.00",1/18/2000
19,20,SBI,765.00,0.66,765,760,760,100,"76,300.00",1/19/2000
14,15,SBI,761.00,-0.52,761,757,765,170,"129,310.00",1/20/2000
12,13,SBI,761.00,0,761,761,761,20,"15,220.00",1/21/2000
13,14,SBI,766.00,0.66,770,765,761,200,"153,210.00",1/24/2000
14,15,SBI,772.00,0.78,772,767,766,170,"131,090.00",1/25/2000
15,16,SBI,772.00,0,776,771,772,240,"185,950.00",1/26/2000
15,16,SBI,780.00,1.04,780,780,772,60,"46,800.00",1/28/2000
17,18,SBI,791.00,1.41,791,791,780,30,"23,730.00",1/31/2000
12,13,SBI,800.00,1.14,801,793,791,270,"215,940.00",2/1/2000
11,12,SBI,825.00,3.12,825,805,800,750,"618,160.00",2/2/2000
14,15,SBI,825.00,0,825,825,825,160,"132,000.00",2/3/2000
15,16,SBI,827.00,0.24,827,827,825,60,"49,620.00",2/4/2000
9,10,SBI,827.00,0,827,825,827,270,"222,850.00",2/7/2000
13,14,SBI,827.00,0,827,827,827,300,"248,100.00",2/8/2000
12,13,SBI,827.00,0,827,825,827,100,"82,680.00",2/9/2000
11,12,SBI,828.00,0.12,828,827,827,170,"140,750.00",2/11/2000
14,15,SBI,835.00,0.85,835,830,828,60,"50,000.00",2/14/2000
11,12,SBI,851.00,1.92,851,850,835,110,"93,600.00",2/16/2000
11,12,SBI,860.00,1.06,860,860,851,20,"17,200.00",2/17/2000
13,14,SBI,870.00,1.16,875,870,860,40,"34,850.00",2/18/2000
12,13,SBI,875.00,0.57,875,870,870,30,"26,200.00",2/21/2000
11,12,SBI,878.00,0.34,878,878,875,20,"17,560.00",2/22/2000
7,8,SBI,900.00,2.51,905,900,878,200,"180,300.00",2/23/2000
12,13,SBI,920.00,2.22,920,900,900,580,"525,670.00",2/24/2000
9,10,SBI,920.00,0,925,920,920,130,"120,100.00",2/25/2000
14,15,SBI,921.00,0.11,925,920,920,250,"230,280.00",2/28/2000
15,16,SBI,921.00,0,922,921,921,350,"322,690.00",2/29/2000
13,14,SBI,919.00,-0.22,919,919,921,40,"36,760.00",3/1/2000
13,14,SBI,898.00,-2.29,898,898,919,120,"107,760.00",3/2/2000
15,16,SBI,875.00,-2.56,895,860,898,"1,720","1,490,050.00",3/3/2000
12,13,SBI,830.00,-5.14,830,830,875,20,"16,600.00",3/6/2000
16,17,SBI,852.00,2.65,852,851,830,540,"459,950.00",3/9/2000
17,18,SBI,853.00,0.12,853,852,852,30,"25,570.00",3/10/2000
9,10,SBI,861.00,0.94,861,860,853,80,"68,840.00",3/13/2000
10,11,SBI,850.00,-1.28,850,850,861,10,"8,500.00",3/14/2000
16,17,SBI,860.00,1.18,865,860,850,210,"180,750.00",3/15/2000
20,21,SBI,871.00,1.28,871,860,860,220,"190,100.00",3/16/2000
14,15,SBI,875.00,0.46,875,875,871,130,"113,750.00",3/17/2000
8,9,SBI,875.00,0,876,875,875,80,"70,010.00",3/20/2000
12,13,SBI,875.00,0,875,875,875,230,"201,250.00",3/21/2000
15,16,SBI,880.00,0.57,880,875,875,200,"175,600.00",3/22/2000
19,20,SBI,880.00,0,880,880,880,10,"8,800.00",3/23/2000
17,18,SBI,881.00,0.11,885,880,880,90,"79,360.00",3/24/2000
8,9,SBI,910.00,3.29,910,910,881,200,"182,000.00",3/27/2000
11,12,SBI,911.00,0.11,911,910,910,240,"218,460.00",3/28/2000
13,14,SBI,910.00,-0.11,910,910,911,400,"364,000.00",3/29/2000
16,17,SBI,916.00,0.66,920,910,910,400,"365,310.00",3/30/2000
15,16,SBI,918.00,0.22,918,915,916,290,"265,440.00",3/31/2000
17,18,SBI,918.00,0,918,913,918,170,"155,410.00",4/3/2000
15,16,SBI,929.00,1.2,929,925,918,100,"92,620.00",4/5/2000
13,14,SBI,935.00,0.65,935,910,929,90,"83,900.00",4/7/2000
15,16,SBI,950.00,1.6,950,950,935,30,"28,500.00",4/10/2000
13,14,SBI,1000.00,5.26,"1,000.00",965,950,330,"326,250.00",4/11/2000
14,15,SBI,1012.00,1.2,"1,012.00","1,005.00","1,000.00",340,"343,820.00",4/14/2000
13,14,SBI,1025.00,1.28,"1,025.00","1,025.00","1,012.00",30,"30,750.00",4/17/2000
21,22,SBI,1050.00,2.44,"1,075.00","1,025.00","1,025.00",170,"180,400.00",4/18/2000
9,10,SBI,1100.00,4.76,"1,102.00","1,050.00","1,050.00",400,"437,920.00",4/19/2000
13,14,SBI,1150.00,4.55,"1,160.00","1,116.00","1,100.00",130,"146,200.00",4/20/2000
16,17,SBI,1221.00,6.17,"1,221.00","1,200.00","1,150.00",560,"678,100.00",4/21/2000
12,13,SBI,1214.00,-0.57,"1,220.00","1,214.00","1,221.00",70,"85,280.00",4/24/2000
15,16,SBI,1195.00,-1.57,"1,215.00","1,195.00","1,214.00",470,"563,350.00",4/25/2000
20,21,SBI,1171.00,-2.01,"1,171.00","1,170.00","1,195.00",290,"339,320.00",4/26/2000
17,18,SBI,1140.00,-2.65,"1,140.00","1,140.00","1,171.00",10,"11,400.00",4/27/2000
17,18,SBI,1148.00,0.7,"1,148.00","1,100.00","1,140.00",110,"125,800.00",4/28/2000
12,13,SBI,1051.00,-8.45,"1,051.00","1,050.00","1,148.00",250,"262,640.00",5/1/2000
12,13,SBI,1055.00,0.38,"1,055.00","1,050.00","1,051.00",60,"63,150.00",5/2/2000
13,14,SBI,1073.00,1.71,"1,073.00","1,060.00","1,055.00",220,"235,610.00",5/3/2000
16,17,SBI,1081.00,0.75,"1,081.00","1,080.00","1,073.00",50,"54,030.00",5/4/2000
14,15,SBI,1115.00,3.15,"1,115.00","1,100.00","1,081.00",90,"99,520.00",5/5/2000
18,19,SBI,1121.00,0.54,"1,121.00","1,120.00","1,115.00",570,"638,850.00",5/8/2000
13,14,SBI,1130.00,0.8,"1,130.00","1,130.00","1,121.00",160,"180,800.00",5/9/2000
12,13,SBI,1131.00,0.09,"1,131.00","1,130.00","1,130.00",190,"214,710.00",5/10/2000
17,18,SBI,1078.00,-4.69,"1,100.00","1,051.00","1,131.00",240,"261,800.00",5/12/2000
17,18,SBI,1030.00,-4.45,"1,030.00","1,030.00","1,078.00",30,"30,900.00",5/15/2000
19,20,SBI,1050.00,1.94,"1,051.00","1,001.00","1,030.00",190,"198,620.00",5/16/2000
14,15,SBI,1060.00,0.95,"1,068.00","1,060.00","1,050.00",120,"127,600.00",5/17/2000
14,15,SBI,1070.00,0.94,"1,100.00","1,068.00","1,060.00",210,"225,270.00",5/19/2000
14,15,SBI,1071.00,0.09,"1,071.00","1,070.00","1,070.00",700,"749,030.00",5/22/2000
11,12,SBI,1073.00,0.19,"1,073.00","1,070.00","1,071.00",50,"53,600.00",5/23/2000
