Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
74,75,SBL,307.00,-50.16,312,306,616,"2,747","845,194.00",1/30/2002
22,23,SBL,307.00,0,311,300,307,"19,350","5,935,670.00",3/5/2006
20,21,SBL,285.00,-7.17,293,283,307,"11,620","3,338,340.00",3/6/2006
17,18,SBL,283.00,-0.7,283,275,285,"13,750","3,864,280.00",3/7/2006
22,23,SBL,281.00,-0.71,286,280,283,"19,990","5,607,860.00",3/8/2006
26,27,SBL,292.00,3.91,292,283,281,"7,500","2,187,570.00",3/9/2006
25,26,SBL,291.00,-0.34,293,290,292,"11,750","3,420,180.00",3/12/2006
14,15,SBL,294.00,1.03,294,293,291,"2,200","646,210.00",3/13/2006
19,20,SBL,295.00,0.34,300,294,294,"16,170","4,761,290.00",3/15/2006
21,22,SBL,296.00,0.34,296,295,295,"16,860","4,976,120.00",3/16/2006
18,19,SBL,296.00,0,296,294,296,"10,280","3,032,810.00",3/19/2006
17,18,SBL,294.00,-0.68,295,292,296,"8,070","2,370,310.00",3/20/2006
17,18,SBL,293.00,-0.34,293,291,294,"4,850","1,415,980.00",3/21/2006
24,25,SBL,289.00,-1.37,289,288,293,"7,860","2,267,430.00",3/22/2006
20,21,SBL,285.00,-1.38,288,282,289,"11,850","3,365,960.00",3/23/2006
24,25,SBL,285.00,0,285,280,285,"7,590","2,156,440.00",3/26/2006
24,25,SBL,285.00,0,285,283,285,"7,380","2,096,760.00",3/27/2006
24,25,SBL,285.00,0,285,284,285,"4,560","1,295,520.00",3/28/2006
25,26,SBL,287.00,0.7,287,285,285,"3,670","1,052,350.00",3/30/2006
25,26,SBL,287.00,0,287,283,287,"13,920","3,971,060.00",4/2/2006
22,23,SBL,285.00,-0.7,287,284,287,"12,990","3,700,750.00",4/3/2006
25,26,SBL,284.00,-0.35,285,283,285,"4,740","1,345,370.00",4/4/2006
18,19,SBL,285.00,0.35,285,284,284,"4,010","1,141,450.00",4/5/2006
8,9,SBL,284.00,-0.35,284,284,285,10,"2,840.00",4/16/2006
23,24,SBL,280.00,-1.41,280,279,284,"4,880","1,366,210.00",4/17/2006
9,10,SBL,299.00,6.79,299,293,280,"6,020","1,794,430.00",4/25/2006
13,14,SBL,305.00,2.01,305,299,299,"10,860","3,301,110.00",4/26/2006
16,17,SBL,336.00,10.16,336,310,305,"14,790","4,911,870.00",4/30/2006
16,17,SBL,365.00,8.63,365,340,336,"16,720","6,013,610.00",5/1/2006
18,19,SBL,339.00,-7.12,365,339,365,"6,940","2,380,080.00",5/2/2006
15,16,SBL,328.00,-3.24,348,322,339,"10,300","3,368,820.00",5/3/2006
12,13,SBL,332.00,1.22,335,325,328,"11,410","3,740,920.00",5/4/2006
