Unnamed: 0,#,Symbol,close,%Change,High,Low,Open,Quantity,Turnover,Date
9,10,SCB,1411.00,0.07,"1,411.00","1,411.00","1,410.00",10,"14,110.00",1/3/2000
16,17,SCB,1411.00,0,"1,411.00","1,411.00","1,411.00",13,"18,343.00",1/4/2000
21,22,SCB,1411.00,0,"1,411.00","1,411.00","1,411.00",57,"80,427.00",1/5/2000
15,16,SCB,1460.00,3.47,"1,460.00","1,450.00","1,411.00",40,"58,150.00",1/7/2000
19,20,SCB,1470.00,0.68,"1,470.00","1,470.00","1,460.00",43,"63,210.00",1/10/2000
13,14,SCB,1481.00,0.75,"1,481.00","1,480.00","1,470.00",297,"439,609.00",1/13/2000
14,15,SCB,1475.00,-0.41,"1,485.00","1,475.00","1,481.00",43,"63,745.00",1/14/2000
12,13,SCB,1495.00,1.36,"1,495.00","1,490.00","1,475.00",68,"101,427.00",1/17/2000
10,11,SCB,1501.00,0.4,"1,501.00","1,495.00","1,495.00",450,"674,993.00",1/18/2000
20,21,SCB,1515.00,0.93,"1,515.00","1,510.00","1,501.00",199,"300,959.00",1/19/2000
15,16,SCB,1516.00,0.07,"1,525.00","1,515.00","1,515.00",272,"412,930.00",1/20/2000
15,16,SCB,1550.00,2.24,"1,550.00","1,550.00","1,516.00","2,500","3,875,000.00",1/25/2000
17,18,SCB,1551.00,0.06,"1,555.00","1,550.00","1,550.00","1,151","1,784,787.00",1/26/2000
12,13,SCB,1561.00,0.64,"1,561.00","1,561.00","1,551.00",157,"245,077.00",1/27/2000
16,17,SCB,1565.00,0.26,"1,565.00","1,563.00","1,561.00",88,"137,604.00",1/28/2000
18,19,SCB,1574.00,0.58,"1,574.00","1,565.00","1,565.00",184,"288,734.00",1/31/2000
13,14,SCB,1580.00,0.38,"1,580.00","1,580.00","1,574.00",291,"459,780.00",2/1/2000
12,13,SCB,1587.00,0.44,"1,587.00","1,580.00","1,580.00",395,"624,230.00",2/2/2000
15,16,SCB,1601.00,0.88,"1,601.00","1,600.00","1,587.00",246,"393,617.00",2/3/2000
16,17,SCB,1600.00,-0.06,"1,610.00","1,600.00","1,601.00",163,"261,045.00",2/4/2000
10,11,SCB,1590.00,-0.62,"1,590.00","1,590.00","1,600.00",5,"7,950.00",2/7/2000
14,15,SCB,1615.00,1.57,"1,615.00","1,615.00","1,590.00",148,"239,020.00",2/8/2000
13,14,SCB,1630.00,0.93,"1,630.00","1,630.00","1,615.00",107,"174,410.00",2/9/2000
12,13,SCB,1631.00,0.06,"1,631.00","1,631.00","1,630.00",20,"32,620.00",2/11/2000
15,16,SCB,1680.00,3,"1,680.00","1,632.00","1,631.00",309,"508,842.00",2/14/2000
10,11,SCB,1702.00,1.31,"1,702.00","1,702.00","1,680.00",115,"195,730.00",2/15/2000
12,13,SCB,1718.00,0.94,"1,718.00","1,710.00","1,702.00",56,"96,128.00",2/16/2000
13,14,SCB,1751.00,1.92,"1,751.00","1,730.00","1,718.00",303,"528,851.00",2/17/2000
14,15,SCB,1780.00,1.66,"1,780.00","1,760.00","1,751.00",83,"147,240.00",2/18/2000
13,14,SCB,1801.00,1.18,"1,801.00","1,800.00","1,780.00",145,"261,020.00",2/21/2000
12,13,SCB,1782.00,-1.05,"1,782.00","1,770.00","1,801.00",170,"302,100.00",2/22/2000
8,9,SCB,1830.00,2.69,"1,850.00","1,820.00","1,782.00",379,"694,030.00",2/23/2000
13,14,SCB,1870.00,2.19,"1,870.00","1,850.00","1,830.00",170,"316,900.00",2/24/2000
10,11,SCB,1850.00,-1.07,"1,880.00","1,850.00","1,870.00",258,"484,600.00",2/25/2000
16,17,SCB,1900.00,2.7,"1,900.00","1,900.00","1,850.00",303,"575,700.00",2/28/2000
17,18,SCB,1910.00,0.53,"1,910.00","1,900.00","1,900.00",604,"1,152,130.00",2/29/2000
15,16,SCB,1932.00,1.15,"1,932.00","1,900.00","1,910.00",535,"1,024,992.00",3/1/2000
